Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742210256762,55, 18,43,B22145,Group 2,,,,,,
1742209773401,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742209810214,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742209812274,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742209836994,,,,,,ItemPicked,Item Book_10 Picked.,4.570456 0.7161553 -1.580771,270 356.5027 0,0,False
1742209837122,,,,,,ItemDropped,Item Book_10 Dropped.,4.650626 0.7436369 -1.479391,273.656 171.5772 183.9127,0,False
1742209837608,,,,,,ItemPicked,Item Book_10 Picked.,4.650177 0.7161477 -1.477923,270 355.2252 0,0,False
1742209839083,,,,,,ItemDropped,Item Book_10 Dropped.,5.222469 0.7985789 -3.023014,291.7206 9.142585 300.1103,0,False
1742209845441,,,,,,ItemPicked,Item Book_10 Picked.,5.889337 -0.03004813 -4.202136,270.1154 307.7823 0,0,False
1742209848907,,,,,,ItemDropped,Item Book_10 Dropped.,7.081838 0.02298101 -4.249265,289.9246 266.6326 278.7743,0,False
1742209848907,,,,,,ItemPicked,Item Book_10 Picked.,7.081838 0.02298101 -4.249265,289.9246 266.6326 278.7743,0,False
1742209848939,,,,,,ItemDropped,Item Book_10 Dropped.,7.097544 0.01760557 -4.345369,289.8246 268.7643 277.3481,0,False
1742209858890,,,,,,ItemPicked,Item Book_10 Picked.,7.287387 -0.03021753 -4.353339,270.0949 190.2987 0,0,False
1742209867452,,,,,,ItemDropped,Item Book_10 Dropped.,11.87969 0.713731 -1.27738,296.9224 142.001 52.92406,0,False
1742209876710,,,,,,ItemPicked,Item Book_07 Picked.,4.474871 0.7161515 -2.996313,270 353.4831 0,0,False
1742209880967,,,,,,ItemDropped,Item Book_07 Dropped.,3.031994 0.8636653 -4.382043,297.9872 84.0469 251.1327,0,False
1742209906067,,,,,,ItemPicked,Item Book_07 Picked.,3.584733 0.0004998427 -4.493144,270 185.7751 0,0,False
1742209907716,,,,,,ItemDropped,Item Book_07 Dropped.,3.461634 0.1501592 -4.186598,292.0711 354.6968 184.2084,0,False
1742209936796,,,,,,ItemPicked,Item Book_07 Picked.,3.29854 0.00050053 -4.142419,270 190.3178 0,0,False
1742209940482,,,,,,ItemDropped,Item Book_07 Dropped.,6.454978 0.9437909 -4.019392,294.4878 49.82768 115.4187,0,False
1742209952222,,,,,,ItemPicked,Item Book_07 Picked.,6.528283 -0.03026912 -4.083191,270.1385 256.0291 261.3213,0,False
1742209964204,,,,,,ItemDropped,Item Book_07 Dropped.,12.11701 0.7135956 -1.075768,286.6309 95.44987 247.7003,0,False
1742209973278,,,,,,ItemPicked,Item Book_42 Picked.,4.504169 0.7161545 -0.119512,270 359.1682 0,0,False
1742209979392,,,,,,ItemDropped,Item Book_42 Dropped.,12.80608 0.8607268 -1.381727,285.8594 169.8967 204.0414,0,False
1742210014534,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742210017134,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742210029139,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742210031415,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742210058363,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1742210066142,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1742210066143,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066148,,,,,,BookPlaced,Book placed on the shelf.,-4.45196 0.8425789 0.2820455,359.9121 0.02367287 359.934,0,False
1742210066148,,,,,,BookPlaced,Book placed on the shelf.,-4.440208 0.8426012 0.355672,359.9233 0.0191448 359.934,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.437931 0.8426892 0.2601167,359.9277 0.02417218 359.9727,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.463296 0.8426473 0.2200779,359.9312 0.009670733 359.9673,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.435319 0.1707473 0.3259212,0.01522445 0.03695591 359.9831,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.433912 0.1707237 0.3560318,0.01641199 0.03603839 359.9685,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.460676 0.842528 0.1803786,359.9071 0.01512553 359.9283,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.425705 0.1707539 0.2110402,359.9781 0.03858151 0.0116494,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.423705 0.1706946 0.180369,0.01391392 0.03625888 359.9786,0,False
1742210066149,,,,,,BookPlaced,Book placed on the shelf.,-4.423265 0.1707521 0.3766614,0.0182579 0.03709091 359.9759,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.421108 0.170784 0.2429608,-0.0013161 0.03970715 0.01323641,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.419164 0.1707764 0.2979638,0.01639697 0.03872322 -0.003798267,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.403393 0.1707034 0.1515853,0.0180038 0.03692799 359.9819,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.402493 0.8427095 0.3129045,359.9482 0.01498856 359.9705,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.395037 0.5021044 0.1795024,0.1418229 359.4448 0.3436039,0,False
1742210066150,,,,,,BookPlaced,Book placed on the shelf.,-4.329906 0.4886858 0.1410908,359.8001 359.8757 359.9483,0,False
1742210066150,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066152,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066154,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066155,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066157,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066158,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210066160,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742210067208,,,,,,RealtimeData,,0.08383153 -6.854534E-07 0.4636648,0 180 0,0,False
1742210067218,,,,,,RealtimeData,,0.09615679 -5.662441E-07 0.4431102,0 180 0,0,False
1742210067239,,,,,,RealtimeData,,0.1108572 -5.066395E-07 0.4192688,0 180 0,0,False
1742210067261,,,,,,RealtimeData,,0.1278745 -4.470348E-07 0.3915885,0 180 0,0,False
1742210067283,,,,,,RealtimeData,,0.1454788 -5.066395E-07 0.3626013,0 180 0,0,False
1742210067306,,,,,,RealtimeData,,0.164083 -4.470348E-07 0.3318027,0 180 0,0,False
1742210067317,,,,,,RealtimeData,,0.1727128 -4.470348E-07 0.3174747,0 180 0,0,False
1742210067340,,,,,,RealtimeData,,0.1912393 -5.066395E-07 0.2865453,0 180 0,0,False
1742210067361,,,,,,RealtimeData,,0.2101168 -4.470348E-07 0.2547013,0 180 0,0,False
1742210067384,,,,,,RealtimeData,,0.2281369 -5.066395E-07 0.2239155,0 180 0,0,False
1742210067406,,,,,,RealtimeData,,0.2465473 -4.470348E-07 0.1919637,0 180 0,0,False
1742210067417,,,,,,RealtimeData,,0.255107 -6.258488E-07 0.1769387,0 180 0,0,False
1742210067439,,,,,,RealtimeData,,0.273153 -6.258488E-07 0.144927,0 180 0,0,False
1742210067462,,,,,,RealtimeData,,0.2916929 -5.662441E-07 0.1115862,0 180 0,0,False
1742210067483,,,,,,RealtimeData,,0.3090695 -5.662441E-07 0.07992551,0 180 0,0,False
1742210067506,,,,,,RealtimeData,,0.3265778 -5.662441E-07 0.0476057,0 180 0,0,False
1742210067517,,,,,,RealtimeData,,0.3354813 -5.662441E-07 0.03102947,0 180 0,0,False
1742210067539,,,,,,RealtimeData,,0.3528844 -5.662441E-07 -0.001683947,0 180 0,0,False
