Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1745822072994,0, 0,84,S24010,Group 3,,,,,,
1745821586497,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1745821694519,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745821696085,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745821713075,,,,,,ItemPicked,Item Book_42 Picked.,4.504776 0.7161547 -0.1247278,270 0.158116 0,0,False
1745821714971,,,,,,ItemDropped,Item Book_42 Dropped.,5.028428 0.8910524 -0.2329449,278.015 85.81174 197.5425,0,False
1745821718833,,,,,,ItemPicked,Item Book_42 Picked.,5.317569 -0.0299758 -0.3850839,270.0791 276.9851 0,0,False
1745821722185,,,,,,ItemDropped,Item Book_42 Dropped.,4.694514 0.892592 -0.2976486,276.5583 47.72863 319.6072,0,False
1745821727638,,,,,,ItemPicked,Item Book_10 Picked.,4.571947 0.7161516 -1.593474,270 0.283466 0,0,False
1745821732646,,,,,,ItemObserved,Observed Book_10,4.587049 1.02974 -1.701042,278.4026 225.3237 134.5582,0,False
1745821732846,,,,,,ItemDropped,Item Book_10 Dropped.,4.604324 0.8415445 -1.451537,279.4327 225.9083 133.8372,0,False
1745821736378,,,,,,ItemPicked,Item Book_07 Picked.,4.476781 0.716151 -3.015202,270 0.1729855 0,0,False
1745821739375,,,,,,ItemDropped,Item Book_07 Dropped.,4.504584 0.8772938 -2.789604,277.2785 301.8743 40.43867,0,False
1745821743250,,,,,,ItemPicked,Item PencilYellow Picked.,7.170255 0.6889433 -3.80316,331.8695 254.0249 89.91782,0,False
1745821743363,,,,,,ItemDropped,Item PencilYellow Dropped.,6.617715 0.9882153 -3.575142,331.8432 253.5516 90.09976,0,False
1745821747017,,,,,,ItemPicked,Item Cup Picked.,7.182996 0.6881838 -3.919641,275.0071 109.526 270.0578,0,False
1745821752025,,,,,,ItemObserved,Observed Cup,7.168061 1.59236 -3.674054,73.64796 68.86087 118.3093,0,False
1745821754458,,,,,,ItemDropped,Item Cup Dropped.,6.87935 0.7703417 -4.005701,279.4816 291.4791 128.1489,0,False
1745821760165,,,,,,ItemPicked,Item spiral notebook Picked.,8.176343 0.6981134 -4.093284,359.9832 348.0247 359.9667,0,False
1745821762565,,,,,,ItemPicked,Item spiral notebook Picked.,8.014609 1.104967 -4.050654,27.36411 347.01 7.30277,0,False
1745821764842,,,,,,ItemDropped,Item spiral notebook Dropped.,7.972248 1.367647 -3.928954,52.9637 338.4894 32.15089,0,False
1745821765175,,,,,,ItemObserved,Observed spiral notebook,7.865342 1.271685 -3.774013,49.54817 334.3145 30.40217,0,False
1745821765852,,,,,,ItemDropped,Item spiral notebook Dropped.,8.176357 0.9881192 -4.010041,11.90549 323.95 15.53518,0,False
1745821769563,,,,,,ItemPicked,Item monitor Picked.,9.711729 0.6856453 -4.12104,270.0343 75.01344 0,0,False
1745821770438,,,,,,ItemDropped,Item monitor Dropped.,10.31518 1.290582 -3.885529,359.7507 335.9951 23.99601,0,False
1745821781100,,,,,,ItemPicked,Item monitor Picked.,12.28494 0.09397851 -2.447076,11.14917 75.12783 90.02732,0,False
1745821782710,,,,,,ItemDropped,Item monitor Dropped.,12.07313 0.7802 -1.238333,7.609317 109.457 60.75528,0,False
1745821794637,,,,,,ItemPicked,Item Book_07 Picked.,4.464749 0.71615 -2.784634,270 342.0004 0,0,False
1745821799642,,,,,,ItemObserved,Observed Book_07,5.381201 0.9437387 -3.058752,274.4321 42.98123 282.863,0,False
1745821802323,,,,,,ItemDropped,Item Book_07 Dropped.,4.626217 0.7940488 -3.097582,273.1314 331.8785 39.44545,0,False
1745821807263,,,,,,EntryUnderTable,Player entered the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821807841,,,,,,ExitUnderTable,Player exited the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821808118,,,,,,EntryUnderTable,Player entered the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821808784,,,,,,ExitUnderTable,Player exited the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821809175,,,,,,EntryUnderTable,Player entered the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821812682,,,,,,ExitUnderTable,Player exited the sitting zone.,4.468002 0.0009756088 -3.055719,7.406731E-05 89.99798 -7.306175E-05,0,False
1745821832298,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1745821863132,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1745821863132,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863138,,,,,,BookPlaced,Book placed on the shelf.,-4.451959 0.8425834 0.2820384,359.9117 0.02919125 359.9348,0,False
1745821863138,,,,,,BookPlaced,Book placed on the shelf.,-4.440201 0.842612 0.3556615,359.9237 0.02518385 359.937,0,False
1745821863138,,,,,,BookPlaced,Book placed on the shelf.,-4.438002 0.8425948 0.260167,359.9088 0.03339508 359.9371,0,False
1745821863138,,,,,,BookPlaced,Book placed on the shelf.,-4.463319 0.8426455 0.2200984,359.921 0.01353486 359.9542,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.435315 0.1707504 0.3261632,359.9322 0.03406486 359.9781,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.433857 0.1708028 0.3561596,359.9669 0.0430911 359.9901,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.460634 0.8426325 0.1803395,359.9204 0.01236499 359.9524,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.425713 0.1707524 0.2110619,359.969 0.04329766 -0.004050357,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.423685 0.1707228 0.1804904,359.9678 0.04238473 359.9879,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.423209 0.1708348 0.3767835,359.9708 0.04394935 -0.001956087,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.421107 0.1707954 0.2429751,359.991 0.04552297 0.003017575,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.419127 0.1708233 0.2980768,359.9735 0.04477008 0.007801284,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.403416 0.1706563 0.1518222,359.9367 0.03323556 359.9693,0,False
1745821863139,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1745821863140,,,,,,BookPlaced,Book placed on the shelf.,-4.402505 0.8427176 0.3129164,359.9413 0.01985984 359.9579,0,False
1745821863140,,,,,,BookPlaced,Book placed on the shelf.,-4.395003 0.5021247 0.1794795,0.1521335 359.4468 0.3584934,0,False
1745821863140,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1745821863140,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1745821863140,,,,,,BookPlaced,Book placed on the shelf.,-4.329941 0.4886764 0.1411134,359.7867 359.8814 359.9331,0,False
1745821863140,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863142,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863144,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863145,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863146,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863148,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863149,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745821863151,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
