timestamps,TP9,AF7,AF8,TP10
1742117325.955,-1000.0,-1000.0,-28.32,-1000.0
1742117325.959,-220.703,59.57,-22.461,-254.395
1742117325.963,999.512,999.512,-26.367,999.512
1742117325.967,949.707,921.875,-20.508,956.055
1742117325.971,948.242,915.039,-15.625,946.289
1742117325.975,900.879,880.371,-17.578,902.832
1742117325.979,999.512,999.512,-17.09,999.512
1742117325.982,361.816,257.812,-35.645,371.094
1742117325.986,-1000.0,-1000.0,-48.34,-997.559
1742117325.99,-1000.0,-945.312,-33.203,-1000.0
1742117325.994,-958.984,-1000.0,-17.578,-958.008
1742117325.998,-1000.0,-855.957,-20.996,-1000.0
1742117326.002,-1000.0,533.203,-32.715,-1000.0
1742117326.006,-1000.0,999.512,-32.227,-1000.0
1742117326.01,-1000.0,999.512,-34.18,-1000.0
1742117326.014,-936.035,647.461,-35.156,-932.129
1742117326.018,-1000.0,-962.891,-31.25,-1000.0
1742117326.022,-227.051,-264.16,-36.133,-302.246
1742117326.026,960.449,999.512,-49.805,934.57
1742117326.029,999.512,999.512,-54.199,999.512
1742117326.033,606.445,130.859,-39.551,456.055
1742117326.037,-802.734,-1000.0,-33.203,-896.484
1742117326.041,-1000.0,-990.234,-38.574,-1000.0
1742117326.045,-894.043,-903.809,-37.109,-919.922
1742117326.002,-1000.0,533.203,-32.715,-1000.0
1742117326.006,-1000.0,999.512,-32.227,-1000.0
1742117326.01,-1000.0,999.512,-34.18,-1000.0
1742117326.014,-936.035,647.461,-35.156,-932.129
1742117326.018,-1000.0,-962.891,-31.25,-1000.0
1742117326.022,-227.051,-264.16,-36.133,-302.246
1742117326.026,960.449,999.512,-49.805,934.57
1742117326.029,999.512,999.512,-54.199,999.512
1742117326.033,606.445,130.859,-39.551,456.055
1742117326.037,-802.734,-1000.0,-33.203,-896.484
1742117326.041,-1000.0,-990.234,-38.574,-1000.0
1742117326.045,-894.043,-903.809,-37.109,-919.922
1742117326.045,-1000.0,-1000.0,-33.691,-1000.0
1742117326.049,-932.617,-440.918,-30.273,-1000.0
1742117326.053,427.734,943.848,-21.973,223.145
1742117326.057,999.512,990.234,-36.621,999.512
1742117326.061,900.879,912.109,-56.152,907.227
1742117326.065,968.262,935.059,-61.035,963.867
1742117326.069,913.574,979.98,-58.105,911.621
1742117326.072,999.512,951.66,-48.828,999.512
1742117326.076,70.801,-349.121,-61.523,113.281
1742117326.08,-1000.0,-1000.0,-56.641,-1000.0
1742117326.084,-968.75,-916.504,-43.457,-974.121
1742117326.088,-918.945,-978.516,-49.805,-916.504
1742117326.092,-1000.0,-1000.0,-41.992,-1000.0
1742117326.096,-220.703,109.863,-30.273,-210.449
1742117326.1,999.512,999.512,-34.18,999.512
1742117326.104,950.195,913.086,-35.156,949.219
1742117326.108,939.453,960.449,-25.879,941.406
1742117326.112,910.156,909.668,-10.254,910.645
1742117326.116,999.512,999.512,-3.906,999.512
1742117326.119,186.523,131.836,-12.695,188.477
1742117326.123,-1000.0,-1000.0,-11.23,-1000.0
1742117326.127,-921.387,-995.605,0.0,-922.852
1742117326.131,-1000.0,-938.477,6.348,-1000.0
1742117326.135,-227.539,351.074,10.254,-211.426
1742117326.135,999.512,999.512,10.254,999.512
1742117326.139,950.684,906.25,6.836,949.219
1742117326.143,937.012,908.203,4.883,938.477
1742117326.147,914.551,999.512,2.441,916.016
1742117326.151,999.512,213.867,7.324,999.512
1742117326.155,140.137,-1000.0,8.789,137.695
1742117326.159,-1000.0,-988.281,6.836,-1000.0
1742117326.162,-978.027,-979.004,2.441,-979.004
1742117326.166,-977.051,-973.633,4.883,-976.074
1742117326.17,-943.848,-1000.0,14.16,-944.824
1742117326.174,-1000.0,-988.77,6.348,-1000.0
1742117326.178,-213.867,280.273,14.648,-205.078
1742117326.135,999.512,999.512,10.254,999.512
1742117326.139,950.684,906.25,6.836,949.219
1742117326.143,937.012,908.203,4.883,938.477
1742117326.147,914.551,999.512,2.441,916.016
1742117326.151,999.512,213.867,7.324,999.512
1742117326.155,140.137,-1000.0,8.789,137.695
1742117326.159,-1000.0,-988.281,6.836,-1000.0
1742117326.162,-978.027,-979.004,2.441,-979.004
1742117326.166,-977.051,-973.633,4.883,-976.074
1742117326.17,-943.848,-1000.0,14.16,-944.824
1742117326.174,-1000.0,-988.77,6.348,-1000.0
1742117326.178,-213.867,280.273,14.648,-205.078
1742117326.184,999.512,999.512,19.531,999.512
1742117326.188,954.102,908.691,29.297,956.055
1742117326.192,871.582,907.227,34.18,870.605
1742117326.196,999.512,999.512,15.625,999.512
1742117326.2,273.438,171.387,14.16,333.008
1742117326.204,-1000.0,-1000.0,14.648,-1000.0
1742117326.208,-1000.0,-982.91,3.418,-1000.0
1742117326.211,-915.527,-912.598,5.371,-916.016
1742117326.215,-1000.0,-1000.0,4.883,-1000.0
1742117326.219,-887.695,-239.746,0.0,-913.574
1742117326.223,497.559,999.512,5.859,433.105
1742117326.227,999.512,958.984,3.418,999.512
1742117326.184,999.512,999.512,19.531,999.512
1742117326.188,954.102,908.691,29.297,956.055
1742117326.192,871.582,907.227,34.18,870.605
1742117326.196,999.512,999.512,15.625,999.512
1742117326.2,273.438,171.387,14.16,333.008
1742117326.204,-1000.0,-1000.0,14.648,-1000.0
1742117326.208,-1000.0,-982.91,3.418,-1000.0
1742117326.211,-915.527,-912.598,5.371,-916.016
1742117326.215,-1000.0,-1000.0,4.883,-1000.0
1742117326.219,-887.695,-239.746,0.0,-913.574
1742117326.223,497.559,999.512,5.859,433.105
1742117326.227,999.512,958.984,3.418,999.512
1742117326.226,900.391,924.805,4.395,903.809
1742117326.23,914.062,936.035,6.836,911.621
1742117326.234,999.512,999.512,-0.977,999.512
1742117326.238,171.875,-18.555,-7.324,173.34
1742117326.242,-1000.0,-1000.0,0.488,-1000.0
1742117326.246,-1000.0,-1000.0,10.742,-1000.0
1742117326.25,-720.703,-208.008,15.625,-667.48
1742117326.253,678.711,999.512,13.184,715.332
1742117326.257,999.512,961.426,11.719,999.512
1742117326.261,867.676,868.164,22.461,879.883
1742117326.265,983.398,999.512,33.203,966.797
1742117326.269,981.934,408.203,33.691,999.512
1742117326.226,900.391,924.805,4.395,903.809
1742117326.23,914.062,936.035,6.836,911.621
1742117326.234,999.512,999.512,-0.977,999.512
1742117326.238,171.875,-18.555,-7.324,173.34
1742117326.242,-1000.0,-1000.0,0.488,-1000.0
1742117326.246,-1000.0,-1000.0,10.742,-1000.0
1742117326.25,-720.703,-208.008,15.625,-667.48
1742117326.253,678.711,999.512,13.184,715.332
1742117326.257,999.512,961.426,11.719,999.512
1742117326.261,867.676,868.164,22.461,879.883
1742117326.265,983.398,999.512,33.203,966.797
1742117326.269,981.934,408.203,33.691,999.512
1742117326.287,-320.312,-975.586,22.461,-217.285
1742117326.291,-1000.0,-1000.0,20.996,-1000.0
1742117326.295,-918.945,-917.969,32.715,-926.758
