timestamps,TP9,AF7,AF8,TP10
1742119303.750,652.344,155.273,-210.449,664.551
1742119303.754,-643.066,-1000.000,138.184,-605.957
1742119303.758,-1000.000,-1000.000,-52.246,-1000.000
1742119303.762,-142.090,12.207,-308.105,-145.020
1742119303.766,952.637,997.070,-447.754,960.938
1742119303.770,999.512,999.512,-620.605,999.512
1742119303.774,584.473,380.859,-413.086,652.344
1742119303.777,-764.648,-957.520,-404.297,-679.199
1742119303.781,-1000.000,-1000.000,-532.715,-1000.000
1742119303.785,-157.715,225.586,-239.258,-148.438
1742119303.789,999.512,858.398,-0.488,999.512
1742119303.793,956.543,-866.699,297.363,958.984
1742119303.795,869.141,-449.219,524.414,868.652
1742119303.799,999.512,999.512,310.547,999.512
1742119303.803,317.871,269.043,204.102,377.930
1742119303.807,-954.590,-1000.000,104.980,-921.387
1742119303.811,-1000.000,-1000.000,-3.418,-1000.000
1742119303.815,-300.781,-19.531,6.836,-354.004
1742119303.819,999.512,999.512,-29.785,999.512
1742119303.822,791.504,223.145,-97.656,885.742
1742119303.826,-638.672,-1000.000,-331.543,-507.324
1742119303.830,-1000.000,-967.285,-376.465,-1000.000
1742119303.834,-1000.000,-1000.000,-246.094,-1000.000
1742119303.838,-231.445,-14.160,-283.691,-218.262
1742119303.795,869.141,-449.219,524.414,868.652
1742119303.799,999.512,999.512,310.547,999.512
1742119303.803,317.871,269.043,204.102,377.930
1742119303.807,-954.590,-1000.000,104.980,-921.387
1742119303.811,-1000.000,-1000.000,-3.418,-1000.000
1742119303.815,-300.781,-19.531,6.836,-354.004
1742119303.819,999.512,999.512,-29.785,999.512
1742119303.822,791.504,223.145,-97.656,885.742
1742119303.826,-638.672,-1000.000,-331.543,-507.324
1742119303.830,-1000.000,-967.285,-376.465,-1000.000
1742119303.834,-1000.000,-1000.000,-246.094,-1000.000
1742119303.838,-231.445,-14.160,-283.691,-218.262
1742119303.795,869.141,-449.219,524.414,868.652
1742119303.799,999.512,999.512,310.547,999.512
1742119303.803,317.871,269.043,204.102,377.930
1742119303.807,-954.590,-1000.000,104.980,-921.387
1742119303.811,-1000.000,-1000.000,-3.418,-1000.000
