timestamps,TP9,AF7,AF8,TP10
1742646454.528,999.512,154.297,-1000.000,999.512
1742646454.532,98.145,-1000.000,-1000.000,478.516
1742646454.536,-1000.000,-949.219,-1000.000,-932.617
1742646454.540,-914.062,-974.609,-970.215,-972.656
1742646454.544,-1000.000,-989.746,-1000.000,-1000.000
1742646454.548,-210.938,237.793,-857.422,-233.887
1742646454.552,999.512,999.512,236.328,999.512
1742646454.555,877.441,946.777,999.512,902.832
1742646454.559,999.512,-237.305,907.715,979.004
1742646454.563,333.008,-1000.000,524.902,854.004
1742646454.567,-961.914,-872.559,440.430,-463.379
1742646454.571,-1000.000,-1000.000,659.668,-1000.000
1742646454.573,-872.559,-451.172,697.754,-911.621
1742646454.577,450.195,875.977,676.270,345.703
1742646454.581,999.512,999.512,391.602,999.512
1742646454.585,999.512,791.016,218.262,999.512
1742646454.589,182.617,-402.832,465.332,577.637
1742646454.593,-1000.000,-1000.000,533.691,-799.316
1742646454.597,-1000.000,-174.805,763.184,-1000.000
1742646454.600,-125.000,987.305,844.727,-41.504
1742646454.604,999.512,999.512,500.977,999.512
1742646454.608,870.605,-239.746,554.688,888.672
1742646454.612,999.512,-547.363,769.531,990.723
1742646454.616,611.816,758.789,315.918,858.398
1742646454.573,-872.559,-451.172,697.754,-911.621
1742646454.577,450.195,875.977,676.270,345.703
1742646454.581,999.512,999.512,391.602,999.512
1742646454.585,999.512,791.016,218.262,999.512
1742646454.589,182.617,-402.832,465.332,577.637
1742646454.593,-1000.000,-1000.000,533.691,-799.316
1742646454.597,-1000.000,-174.805,763.184,-1000.000
1742646454.600,-125.000,987.305,844.727,-41.504
1742646454.604,999.512,999.512,500.977,999.512
1742646454.608,870.605,-239.746,554.688,888.672
1742646454.612,999.512,-547.363,769.531,990.723
1742646454.616,611.816,758.789,315.918,858.398
1742646454.618,-829.102,-477.539,-627.930,-535.645
1742646454.622,-1000.000,-1000.000,-1000.000,-1000.000
1742646454.626,-1000.000,-664.551,-857.422,-1000.000
1742646454.630,-207.520,656.738,-429.199,-365.723
1742646454.634,999.512,983.398,-69.824,984.375
1742646454.638,945.801,999.512,163.574,974.121
1742646454.642,942.871,618.652,264.160,929.199
1742646454.645,962.891,-996.094,651.367,976.562
1742646454.649,918.945,-606.934,988.281,906.738
1742646454.653,999.512,774.902,962.402,999.512
1742646454.657,21.484,-359.375,944.824,161.621
1742646454.661,-1000.000,-1000.000,908.691,-1000.000
1742646454.618,-829.102,-477.539,-627.930,-535.645
1742646454.622,-1000.000,-1000.000,-1000.000,-1000.000
1742646454.626,-1000.000,-664.551,-857.422,-1000.000
1742646454.630,-207.520,656.738,-429.199,-365.723
1742646454.634,999.512,983.398,-69.824,984.375
1742646454.638,945.801,999.512,163.574,974.121
1742646454.642,942.871,618.652,264.160,929.199
1742646454.645,962.891,-996.094,651.367,976.562
1742646454.649,918.945,-606.934,988.281,906.738
1742646454.653,999.512,774.902,962.402,999.512
1742646454.657,21.484,-359.375,944.824,161.621
1742646454.661,-1000.000,-1000.000,908.691,-1000.000
1742646454.678,-895.996,-1000.000,957.031,-948.730
1742646454.682,-1000.000,-100.098,964.844,-972.656
1742646454.686,-621.582,999.512,965.332,-1000.000
1742646454.690,786.133,950.195,938.965,246.094
1742646454.694,999.512,895.020,543.457,999.512
1742646454.698,866.699,999.512,500.488,849.121
1742646454.702,999.512,800.293,946.777,999.512
1742646454.705,-2.930,-551.758,961.914,138.672
1742646454.709,-1000.000,-1000.000,819.336,-1000.000
1742646454.713,-959.473,-1000.000,726.074,-977.539
1742646454.717,-986.816,181.152,787.598,-976.562
1742646454.721,-1000.000,916.504,719.238,-1000.000
1742646454.678,-895.996,-1000.000,957.031,-948.730
1742646454.682,-1000.000,-100.098,964.844,-972.656
1742646454.686,-621.582,999.512,965.332,-1000.000
1742646454.690,786.133,950.195,938.965,246.094
1742646454.694,999.512,895.020,543.457,999.512
1742646454.698,866.699,999.512,500.488,849.121
1742646454.702,999.512,800.293,946.777,999.512
1742646454.705,-2.930,-551.758,961.914,138.672
1742646454.709,-1000.000,-1000.000,819.336,-1000.000
1742646454.713,-959.473,-1000.000,726.074,-977.539
1742646454.717,-986.816,181.152,787.598,-976.562
1742646454.721,-1000.000,916.504,719.238,-1000.000
1742646454.723,-927.734,-563.965,460.449,-944.336
1742646454.727,-1000.000,-1000.000,321.289,-1000.000
1742646454.731,-441.406,-108.398,71.777,-817.383
1742646454.735,951.660,999.512,66.895,581.543
1742646454.739,958.496,881.836,270.020,999.512
1742646454.743,914.062,999.512,582.520,864.746
1742646454.747,999.512,625.977,588.379,999.512
1742646454.750,-276.367,-771.973,-109.375,-52.246
1742646454.754,-1000.000,-999.512,-719.238,-1000.000
1742646454.758,-1000.000,-1000.000,-727.539,-904.297
1742646454.762,-762.207,-290.039,-551.758,-1000.000
1742646454.766,584.473,943.848,-803.223,-142.090
1742646454.723,-927.734,-563.965,460.449,-944.336
1742646454.727,-1000.000,-1000.000,321.289,-1000.000
1742646454.731,-441.406,-108.398,71.777,-817.383
1742646454.735,951.660,999.512,66.895,581.543
1742646454.739,958.496,881.836,270.020,999.512
1742646454.743,914.062,999.512,582.520,864.746
1742646454.747,999.512,625.977,588.379,999.512
1742646454.750,-276.367,-771.973,-109.375,-52.246
1742646454.754,-1000.000,-999.512,-719.238,-1000.000
1742646454.758,-1000.000,-1000.000,-727.539,-904.297
1742646454.762,-762.207,-290.039,-551.758,-1000.000
1742646454.766,584.473,943.848,-803.223,-142.090
1742646454.768,999.512,999.512,-955.078,999.512
1742646454.772,790.527,298.828,-905.273,870.605
1742646454.776,-500.977,-953.613,-786.133,-456.543
1742646454.780,-1000.000,-1000.000,-458.008,-1000.000
1742646454.784,-1000.000,-876.953,-379.883,-1000.000
1742646454.788,-7.324,350.098,-194.336,-185.059
1742646454.792,999.512,999.512,166.992,999.512
1742646454.795,921.387,165.527,223.145,944.824
1742646454.799,962.402,-1000.000,400.391,955.566
1742646454.803,898.438,-470.215,618.652,898.926
1742646454.807,999.512,999.512,551.270,999.512
1742646454.811,317.383,288.574,473.145,460.938
1742646454.768,999.512,999.512,-955.078,999.512
1742646454.772,790.527,298.828,-905.273,870.605
1742646454.776,-500.977,-953.613,-786.133,-456.543
1742646454.780,-1000.000,-1000.000,-458.008,-1000.000
1742646454.784,-1000.000,-876.953,-379.883,-1000.000
1742646454.788,-7.324,350.098,-194.336,-185.059
1742646454.792,999.512,999.512,166.992,999.512
1742646454.795,921.387,165.527,223.145,944.824
1742646454.799,962.402,-1000.000,400.391,955.566
1742646454.803,898.438,-470.215,618.652,898.926
1742646454.807,999.512,999.512,551.270,999.512
1742646454.811,317.383,288.574,473.145,460.938
1742646454.768,999.512,999.512,-955.078,999.512
1742646454.772,790.527,298.828,-905.273,870.605
1742646454.776,-500.977,-953.613,-786.133,-456.543
1742646454.780,-1000.000,-1000.000,-458.008,-1000.000
1742646454.784,-1000.000,-876.953,-379.883,-1000.000
1742646454.788,-7.324,350.098,-194.336,-185.059
1742646454.792,999.512,999.512,166.992,999.512
1742646454.795,921.387,165.527,223.145,944.824
1742646454.799,962.402,-1000.000,400.391,955.566
1742646454.803,898.438,-470.215,618.652,898.926
1742646454.807,999.512,999.512,551.270,999.512
1742646454.811,317.383,288.574,473.145,460.938
1742646454.813,-1000.000,-1000.000,64.941,-951.172
1742646454.817,-1000.000,-1000.000,-788.574,-1000.000
1742646454.821,-973.633,-360.840,-1000.000,-964.355
1742646454.825,-937.500,999.512,-970.703,-958.496
1742646454.829,-1000.000,-108.398,-1000.000,-1000.000
