timestamps,TP9,AF7,AF8,TP10
1742118276.993,-1000.0,-451.172,196.777,-1000.0
1742118276.997,-415.527,292.48,245.605,-520.508
1742118277.001,912.109,728.027,269.043,826.172
1742118277.005,999.512,138.672,157.715,999.512
1742118277.009,-203.125,-734.863,18.066,-172.852
1742118277.013,-1000.0,-547.363,-28.32,-1000.0
1742118277.017,-234.863,605.469,-68.359,-303.223
1742118277.02,999.512,638.672,-89.355,999.512
1742118277.024,396.973,-658.203,-88.867,460.938
1742118277.028,-926.27,-766.113,-86.426,-895.02
1742118277.032,-1000.0,14.16,-57.617,-1000.0
1742118277.036,-470.215,288.086,-118.164,-467.773
1742118277.038,999.512,499.512,-174.805,965.82
1742118277.042,562.012,-559.082,-195.801,635.742
1742118277.046,-862.305,-775.879,-183.105,-764.16
1742118277.05,-1000.0,-80.078,-172.852,-1000.0
1742118277.054,-255.371,345.703,-172.363,-333.984
1742118277.058,926.758,696.777,-148.438,893.066
1742118277.062,999.512,269.043,-177.246,999.512
1742118277.065,192.383,-373.047,-222.656,170.898
1742118277.069,-1000.0,-1000.0,-181.641,-1000.0
1742118277.073,-952.148,-613.77,-137.695,-1000.0
1742118277.077,312.012,656.25,-94.727,163.574
1742118277.081,999.512,416.504,-78.125,999.512
1742118277.038,999.512,499.512,-174.805,965.82
1742118277.042,562.012,-559.082,-195.801,635.742
1742118277.046,-862.305,-775.879,-183.105,-764.16
1742118277.05,-1000.0,-80.078,-172.852,-1000.0
1742118277.054,-255.371,345.703,-172.363,-333.984
1742118277.058,926.758,696.777,-148.438,893.066
1742118277.062,999.512,269.043,-177.246,999.512
1742118277.065,192.383,-373.047,-222.656,170.898
1742118277.069,-1000.0,-1000.0,-181.641,-1000.0
1742118277.073,-952.148,-613.77,-137.695,-1000.0
1742118277.077,312.012,656.25,-94.727,163.574
1742118277.081,999.512,416.504,-78.125,999.512
1742118277.084,284.668,-624.023,-75.684,351.074
1742118277.088,-1000.0,-927.246,-88.379,-1000.0
1742118277.092,-866.211,15.137,-104.004,-938.965
1742118277.096,499.512,881.348,-80.566,388.184
1742118277.1,999.512,232.422,-108.398,999.512
1742118277.104,119.629,-742.188,-125.977,102.051
1742118277.108,-997.07,-395.996,-104.492,-994.629
1742118277.111,-1000.0,-406.25,-141.602,-1000.0
1742118277.115,-213.379,-142.09,-41.992,-282.227
1742118277.119,978.516,789.062,75.195,951.172
1742118277.123,999.512,172.852,59.082,999.512
1742118277.127,20.02,-725.586,28.32,50.293
1742118277.084,284.668,-624.023,-75.684,351.074
1742118277.088,-1000.0,-927.246,-88.379,-1000.0
1742118277.092,-866.211,15.137,-104.004,-938.965
1742118277.096,499.512,881.348,-80.566,388.184
1742118277.1,999.512,232.422,-108.398,999.512
1742118277.104,119.629,-742.188,-125.977,102.051
1742118277.108,-997.07,-395.996,-104.492,-994.629
1742118277.111,-1000.0,-406.25,-141.602,-1000.0
1742118277.115,-213.379,-142.09,-41.992,-282.227
1742118277.119,978.516,789.062,75.195,951.172
1742118277.123,999.512,172.852,59.082,999.512
1742118277.127,20.02,-725.586,28.32,50.293
1742118277.129,-1000.0,-647.461,9.766,-1000.0
1742118277.133,-1000.0,-226.074,3.906,-1000.0
1742118277.137,36.621,437.5,33.203,-41.016
1742118277.141,999.512,580.078,62.988,999.512
1742118277.145,885.254,-167.48,69.336,885.742
1742118277.149,999.512,339.355,110.352,999.512
1742118277.153,-86.914,-339.355,72.754,34.18
1742118277.156,-1000.0,-947.754,-42.48,-1000.0
1742118277.16,-943.848,12.695,-63.965,-941.895
1742118277.164,-1000.0,86.914,-74.219,-1000.0
1742118277.168,157.715,431.641,-72.266,47.363
1742118277.172,999.512,760.254,-53.711,999.512
1742118277.129,-1000.0,-647.461,9.766,-1000.0
1742118277.133,-1000.0,-226.074,3.906,-1000.0
1742118277.137,36.621,437.5,33.203,-41.016
1742118277.141,999.512,580.078,62.988,999.512
1742118277.145,885.254,-167.48,69.336,885.742
1742118277.149,999.512,339.355,110.352,999.512
1742118277.153,-86.914,-339.355,72.754,34.18
1742118277.156,-1000.0,-947.754,-42.48,-1000.0
1742118277.16,-943.848,12.695,-63.965,-941.895
1742118277.164,-1000.0,86.914,-74.219,-1000.0
1742118277.168,157.715,431.641,-72.266,47.363
1742118277.172,999.512,760.254,-53.711,999.512
1742118277.174,603.516,-95.703,-71.777,742.676
1742118277.178,-680.176,-843.75,-83.984,-514.648
1742118277.182,-1000.0,-465.82,-76.172,-1000.0
1742118277.186,-540.527,205.078,-67.871,-657.715
1742118277.19,747.07,739.746,-72.754,593.75
1742118277.194,999.512,755.371,-76.172,999.512
1742118277.198,185.547,-232.91,-112.793,270.996
1742118277.201,-973.633,-922.363,-150.391,-947.754
1742118277.205,-1000.0,-194.824,-144.531,-1000.0
1742118277.209,-725.586,190.43,-146.484,-800.293
1742118277.213,579.59,645.996,-138.184,443.848
1742118277.217,999.512,261.23,-148.438,999.512
1742118277.174,603.516,-95.703,-71.777,742.676
1742118277.178,-680.176,-843.75,-83.984,-514.648
1742118277.182,-1000.0,-465.82,-76.172,-1000.0
1742118277.186,-540.527,205.078,-67.871,-657.715
1742118277.19,747.07,739.746,-72.754,593.75
1742118277.194,999.512,755.371,-76.172,999.512
1742118277.198,185.547,-232.91,-112.793,270.996
1742118277.201,-973.633,-922.363,-150.391,-947.754
1742118277.205,-1000.0,-194.824,-144.531,-1000.0
1742118277.209,-725.586,190.43,-146.484,-800.293
1742118277.213,579.59,645.996,-138.184,443.848
1742118277.217,999.512,261.23,-148.438,999.512
1742118277.22,186.035,-738.77,-107.422,238.281
1742118277.224,-1000.0,-766.602,-35.156,-1000.0
1742118277.228,-196.777,613.77,-7.324,-208.984
1742118277.232,994.141,590.82,-39.551,996.094
1742118277.236,999.512,38.574,10.254,999.512
1742118277.24,312.012,-0.977,-1.465,378.418
1742118277.244,-945.312,-911.621,-95.215,-910.645
1742118277.247,-1000.0,-533.203,-11.719,-1000.0
1742118277.251,-143.066,644.043,16.602,-115.723
1742118277.255,965.332,319.824,-32.715,965.332
1742118277.259,999.512,80.566,-7.324,999.512
1742118277.263,274.414,-65.918,12.207,334.961
1742118277.22,186.035,-738.77,-107.422,238.281
1742118277.224,-1000.0,-766.602,-35.156,-1000.0
1742118277.228,-196.777,613.77,-7.324,-208.984
1742118277.232,994.141,590.82,-39.551,996.094
1742118277.236,999.512,38.574,10.254,999.512
