timestamps,TP9,AF7,AF8,TP10
1745821983.0,695.312,-290.039,-1000,869.629
1745821983.0,-908.203,-567.871,-988.281,-719.727
1745821983.0,-304.688,475.098,70.312,-153.32
1745821983.0,999.512,568.848,999.512,999.512
1745821983.0,833.008,-349.609,-7.812,999.512
1745821983.0,-582.52,-755.371,-1000,-67.871
1745821983.0,-1000,-376.465,-904.785,-1000
1745821983.0,6.348,532.715,402.832,59.082
1745821983.0,973.145,449.219,999.512,999.512
1745821983.0,968.75,-305.176,686.035,943.359
1745821983.0,930.664,-395.996,-419.922,979.98
1745821983.0,-656.25,-716.797,-935.547,-585.938
1745821984.0,989.746,255.371,924.316,-1000
1745821984.0,922.363,-374.512,309.57,-1000
1745821984.0,978.516,-101.074,-241.211,-1000
1745821984.0,966.797,240.234,375,-1000
1745821984.0,964.844,737.305,965.82,-1000
1745821984.0,970.215,532.227,999.512,-1000
1745821984.0,957.52,-325.684,372.559,-1000
1745821984.0,945.801,-396.484,-791.504,-1000
1745821984.0,966.797,246.094,-404.785,-1000
1745821984.0,983.398,740.234,855.469,-1000
1745821984.0,892.09,206.055,999.512,-1000
1745821984.0,999.512,-405.273,-53.711,-1000
1745821986.0,966.309,452.637,966.797,966.797
1745821986.0,966.309,59.57,966.797,966.797
1745821986.0,966.309,319.336,966.797,966.797
1745821986.0,966.309,792.969,966.797,966.797
1745821986.0,966.309,999.512,966.797,967.285
1745821986.0,965.82,80.078,966.797,966.797
1745821986.0,966.309,-414.551,966.797,966.797
1745821986.0,966.309,18.555,967.285,967.285
1745821986.0,966.309,584.473,965.82,967.285
1745821986.0,966.309,999.512,970.215,966.797
1745821986.0,966.309,402.832,958.008,966.797
1745821986.0,966.309,-166.504,950.195,966.797
1745821987.0,-1000,655.762,816.895,-1000
1745821987.0,-1000,6.836,999.512,-1000
1745821987.0,-1000,-853.027,-532.227,-1000
1745821987.0,-1000,-568.359,-1000,-1000
1745821987.0,-1000,16.602,302.734,-1000
1745821987.0,-1000,836.914,999.512,-1000
1745821987.0,-1000,400.879,913.574,-1000
1745821987.0,-1000,-604.492,966.309,-1000
1745821987.0,-1000,-331.543,969.238,-1000
1745821987.0,-1000,71.777,967.285,-1000
1745821987.0,-1000,573.242,967.285,-1000
1745821987.0,-1000,597.168,967.285,-1000
1745821990.0,-121.094,-438.477,-848.633,-549.316
1745821990.0,-1000,-338.379,-1000,-1000
1745821990.0,-1000,18.066,-721.191,-926.27
1745821990.0,192.383,290.039,700.195,-1000
1745821990.0,999.512,56.641,521.484,-1000
1745821990.0,-267.578,-250,-923.34,-1000
1745821990.0,-1000,-247.07,-1000,-1000
1745821990.0,-1000,-153.809,-1000,-1000
1745821990.0,-252.441,256.836,181.641,-1000
1745821990.0,999.512,300.781,748.047,-1000
1745821990.0,-204.102,-210.449,-707.52,-1000
1745821990.0,-1000,-221.191,-1000,-1000
1745821990.0,-233.398,347.168,255.859,-1000
1745821990.0,-233.398,347.168,255.859,-1000
1745821990.0,999.512,502.441,999.512,-1000
1745821990.0,950.684,98.633,243.652,-1000
1745821990.0,-396.484,-139.648,-987.305,-971.191
