timestamps,TP9,AF7,AF8,TP10
1741602660.329,-166.016,-124.512,-65.43,-43.945
1741602660.333,999.512,-170.41,-114.258,999.512
1741602660.337,258.301,-232.422,-150.879,244.629
1741602660.341,-1000.0,-251.465,-156.738,-1000.0
1741602660.345,-1000.0,-219.727,-159.668,-1000.0
1741602660.349,-197.754,-153.32,-157.715,-98.145
1741602660.353,999.512,-106.445,-145.02,999.512
1741602660.356,484.375,-138.184,-122.559,429.199
1741602660.36,-883.789,-155.273,-118.652,-874.023
1741602660.364,-1000.0,-132.812,-123.047,-1000.0
1741602660.368,-220.215,-88.379,-110.84,-209.473
1741602660.372,999.512,-78.613,-110.84,999.512
1741602669.749,855.957,-80.566,-80.078,784.18
1741602669.753,-620.117,-85.449,-82.52,-678.711
1741602669.757,-1000.0,-99.609,-88.379,-1000.0
1741602669.761,371.094,-66.895,-96.68,384.766
1741602669.765,999.512,-82.52,-99.121,999.512
1741602669.769,844.727,-85.938,-93.75,870.117
1741602669.773,-481.445,-109.375,-90.82,-442.871
1741602669.776,-1000.0,-104.004,-96.191,-1000.0
1741602669.78,2.93,66.895,-91.309,73.242
1741602669.784,999.512,82.031,-84.473,999.512
1741602669.788,875.977,-65.918,-81.543,849.121
1741602669.792,-659.18,-108.398,-72.266,-664.062
1741602670.964,528.32,-33.203,-6.348,407.227
1741602670.968,-925.293,-53.223,0.488,-935.547
1741602670.972,-926.758,-40.527,-8.789,-861.816
1741602670.976,556.152,-10.742,-18.066,592.773
1741602670.98,999.512,-1.465,-24.414,999.512
1741602670.984,760.254,-27.832,-26.855,653.32
1741602670.988,-696.289,-52.734,-14.16,-739.746
1741602670.991,-1000.0,20.02,-13.672,-1000.0
1741602670.995,448.73,92.773,-17.09,442.383
1741602670.999,999.512,59.57,-8.789,999.512
1741602671.003,437.988,11.23,-13.184,325.684
1741602671.007,-966.309,75.195,-36.133,-983.398
1741602688.082,-1000.0,-249.512,-101.074,-1000.0
1741602688.086,-189.453,-27.344,-109.375,-111.328
1741602688.09,999.512,-58.594,-104.492,999.512
1741602688.094,230.957,-261.23,-111.328,122.07
1741602688.098,-1000.0,-243.652,-123.535,-1000.0
1741602688.102,-560.059,-216.797,-146.484,-583.496
1741602688.106,999.512,-227.539,-172.852,975.586
1741602688.109,471.68,-313.965,-182.617,482.91
1741602688.113,-1000.0,-284.668,-183.105,-1000.0
1741602688.117,-591.309,152.832,-178.711,-655.273
1741602688.121,999.512,227.539,-174.805,971.191
1741602688.125,357.91,-238.281,-175.293,382.812
1741602697.2,-1000.0,-161.621,-17.578,-1000.0
1741602697.204,-239.746,-190.43,-14.648,-123.535
1741602697.208,999.512,-160.645,-21.973,999.512
1741602697.212,483.887,-124.023,-22.949,535.156
1741602697.216,-1000.0,-128.906,-15.625,-1000.0
1741602697.22,-345.703,-66.406,-14.648,-363.77
1741602697.224,999.512,-78.125,-12.207,999.512
1741602697.227,252.93,-139.16,3.418,292.48
1741602697.231,-1000.0,-167.969,8.301,-1000.0
1741602697.235,-276.367,-84.473,-1.465,-287.598
1741602697.239,999.512,-5.859,-13.184,999.512
1741602697.243,438.477,-29.785,-17.09,445.312
