Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742116342374,35, 0,24,B20265,Group 1,,,,,,
1742115980167,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742116040634,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742116047608,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742116070412,,,,,,ItemPicked,Item Book_42 Picked.,4.504783 0.7161542 -0.1247235,270 0.1566247 0,0,False
1742116075566,,,,,,ItemDropped,Item Book_42 Dropped.,5.069243 1.171551 -0.9706617,286.8659 68.57984 282.5723,0,False
1742116075567,,,,,,ItemPicked,Item Book_42 Picked.,5.069243 1.171551 -0.9706617,286.8659 68.57984 282.5723,0,False
1742116075895,,,,,,ItemDropped,Item Book_42 Dropped.,5.059894 1.150106 -0.9931206,287.019 72.30703 279.1623,0,False
1742116077694,,,,,,ItemPicked,Item Book_10 Picked.,4.570456 0.7161553 -1.580771,270 356.5027 0,0,False
1742116081248,,,,,,ItemPicked,Item Book_42 Picked.,5.037723 0.0004997253 -0.9916749,270 350.6937 0,0,False
1742116086968,,,,,,ItemDropped,Item Book_10 Dropped.,12.25977 1.2292 -0.3367618,288.8317 341.7875 320.5459,0,False
1742116087013,,,,,,ItemPicked,Item Book_10 Picked.,12.26809 1.218533 -0.3521932,288.6216 344.4797 318.8139,0,False
1742116087368,,,,,,ItemDropped,Item Book_10 Dropped.,12.26706 1.226214 -0.3300907,286.1556 341.5755 325.3828,0,False
1742116087567,,,,,,ItemDropped,Item Book_42 Dropped.,12.06085 1.162759 -0.2438569,330.2922 2.486892 304.634,0,False
1742116087567,,,,,,ItemPicked,Item Book_42 Picked.,12.06085 1.162759 -0.2438569,330.2922 2.486892 304.634,0,False
1742116090577,,,,,,ItemDropped,Item Book_42 Dropped.,12.08543 1.154722 -0.7506807,317.8198 327.4643 311.4358,0,False
1742116092738,,,,,,ItemPicked,Item Book_10 Picked.,12.29138 -0.03007858 -0.3276659,270.028 301.2337 0,0,False
1742116093696,,,,,,ItemDropped,Item Book_10 Dropped.,12.26404 1.076052 -0.8010402,306.9379 15.93829 301.7265,0,False
1742116101427,,,,,,ItemPicked,Item Book_07 Picked.,4.474871 0.7161515 -2.996313,270 353.4831 0,0,False
1742116108478,,,,,,ItemDropped,Item Book_07 Dropped.,12.30255 1.102025 -0.8318539,278.9209 114.6248 188.1651,0,False
1742116120877,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1742116131740,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1742116131740,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742116131747,,,,,,BookPlaced,Book placed on the shelf.,-4.451893 0.8426719 0.281989,359.9287 0.02124697 359.9699,0,False
1742116131747,,,,,,BookPlaced,Book placed on the shelf.,-4.440138 0.8427054 0.3556058,359.941 0.01998543 359.9795,0,False
1742116131747,,,,,,BookPlaced,Book placed on the shelf.,-4.437936 0.8426799 0.2601244,359.9252 0.02401027 359.9706,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.463301 0.8426374 0.2200862,359.9285 0.008938583 359.9651,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.435301 0.170772 0.3260347,359.9746 0.03399656 0.003196301,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.433886 0.1707573 0.3561505,359.9739 0.03306676 359.992,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.460612 0.8426273 0.1803283,359.928 0.008069365 359.9628,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.425721 0.1707402 0.2110533,359.975 0.03448419 0.006563797,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.423687 0.1707151 0.1804785,359.9746 0.03353278 0.0001554372,0,False
1742116131748,,,,,,BookPlaced,Book placed on the shelf.,-4.423242 0.1707864 0.3767783,359.9762 0.03411707 -0.00132736,0,False
