Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1743150796931,10, 0,77,intern,Group 4,,,,,,
1743150425814,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1743150495261,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1743150498281,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1743150510282,,,,,,ItemPicked,Item monitor Picked.,9.711281 0.6856208 -4.121284,270.028 75.03197 0,0,False
1743150510430,,,,,,ItemDropped,Item monitor Dropped.,9.467721 0.2148347 -3.730453,270.1702 247.6711 186.3632,0,False
1743150511843,,,,,,ItemPicked,Item monitor Picked.,9.470414 -0.02999434 -3.729962,270 75.86818 0,0,False
1743150516851,,,,,,ItemObserved,Observed monitor,9.491642 0.4867492 -3.685854,273.0125 67.41084 9.155002,0,False
1743150518206,,,,,,ItemDropped,Item monitor Dropped.,9.449386 -0.03447205 -3.706256,272.8235 49.44952 28.6585,0,False
1743150531899,,,,,,ItemPicked,Item spiral notebook Picked.,8.176186 0.6981046 -4.092685,0.009677199 348.0433 359.9787,0,False
1743150536906,,,,,,ItemObserved,Observed spiral notebook,8.065639 0.8794939 -3.783961,10.441 334.4011 1.65877,0,False
1743150538351,,,,,,ItemDropped,Item spiral notebook Dropped.,8.159165 0.8005237 -3.958108,11.94239 335.4633 1.866545,0,False
1743150544405,,,,,,ItemPicked,Item Cup Picked.,7.187245 0.6848865 -3.928098,270.0443 8.581358 0,0,False
1743150544504,,,,,,ItemDropped,Item Cup Dropped.,7.388058 0.685912 -3.74608,270.2307 139.0092 232.2399,0,False
1743150550756,,,,,,ItemPicked,Item Cup Picked.,7.457618 0.08132058 -3.614239,89.90309 82.01503 0,0,False
1743150555764,,,,,,ItemObserved,Observed Cup,7.398625 0.1325357 -3.714564,334.182 236.2659 195.6073,0,False
1743150556931,,,,,,ItemDropped,Item Cup Dropped.,7.519511 0.3164212 -3.70562,60.64556 268.1834 208.2483,0,False
1743150562173,,,,,,ItemPicked,Item PencilGrey Picked.,7.315276 0.691295 -3.925184,30.42567 317.358 86.55433,0,False
1743150567181,,,,,,ItemObserved,Observed PencilGrey,7.481802 0.7828933 -3.85829,20.34488 318.3309 89.60629,0,False
1743150568314,,,,,,ItemDropped,Item PencilGrey Dropped.,7.335298 0.7802552 -4.03309,20.37474 305.3233 90.03355,0,False
1743150569313,,,,,,ItemPicked,Item PencilGreen Picked.,7.326155 0.688525 -3.954872,28.70635 355.0191 89.93938,0,False
1743150569503,,,,,,ItemDropped,Item PencilGreen Dropped.,7.32375 0.6930868 -3.89008,30.64824 355.0323 92.16109,0,False
1743150569591,,,,,,ItemPicked,Item PencilGreen Picked.,7.323922 0.6908534 -3.890317,28.28943 351.8332 86.45513,0,False
1743150574599,,,,,,ItemObserved,Observed PencilGreen,7.472129 0.7183051 -3.89384,31.28226 339.9285 72.76654,0,False
1743150576976,,,,,,ItemDropped,Item PencilGreen Dropped.,7.31582 0.7500201 -3.9697,31.76656 336.0241 78.12898,0,False
1743150577249,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1743150586026,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1743150586026,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586036,,,,,,BookPlaced,Book placed on the shelf.,-4.452031 0.8425938 0.2821337,359.8933 -0.001419967 359.9185,0,False
1743150586036,,,,,,BookPlaced,Book placed on the shelf.,-4.440311 0.8426242 0.3557612,359.9041 359.9937 359.9151,0,False
1743150586036,,,,,,BookPlaced,Book placed on the shelf.,-4.438018 0.8426303 0.2602495,359.8999 359.989 359.9384,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.463358 0.8425952 0.2201964,359.9002 359.9735 359.9331,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.435471 0.1706728 0.3262137,359.9301 0.003200567 359.9374,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.434092 0.170655 0.3563463,359.9231 0.001353384 359.9171,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.460692 0.8425473 0.1804542,359.8886 359.992 359.925,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.425811 0.1706692 0.2112078,359.9368 0.006751963 359.9685,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.423766 0.1706432 0.1806397,359.9341 0.006163564 359.9656,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.423578 0.1705871 0.3769526,359.9438 359.9849 359.8625,0,False
1743150586037,,,,,,BookPlaced,Book placed on the shelf.,-4.421218 0.1707021 0.2431242,359.9591 0.007042286 359.9703,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.41928 0.170724 0.2982277,359.9401 0.006821027 359.9653,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.403453 0.1706203 0.1518778,359.932 0.005363863 359.9618,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.402655 0.8425947 0.31309,359.89 359.9893 359.898,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.395069 0.5018891 0.1797198,359.9336 359.5004 0.3131759,0,False
1743150586038,,,,,,BookPlaced,Book placed on the shelf.,-4.330056 0.4884811 0.1413194,359.6453 359.8741 359.8963,0,False
1743150586039,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586043,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586046,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586048,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586051,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586054,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586056,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586059,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586062,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586065,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586068,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586071,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586074,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586076,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150586079,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587277,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587289,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587304,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587321,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587343,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587366,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587388,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587410,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587422,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587444,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587466,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587489,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587510,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587521,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587543,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587566,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587588,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587612,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587622,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587644,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587666,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587688,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587710,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587722,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587744,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587766,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587789,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587810,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587822,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587845,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587868,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587892,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587903,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587926,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587949,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587971,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150587983,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588004,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588026,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588048,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588072,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588082,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588105,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588126,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588148,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588171,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588182,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588204,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588227,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588248,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588271,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588282,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588304,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588327,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588348,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588371,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588382,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588404,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588426,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588448,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588470,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588482,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588503,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588526,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588549,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588561,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588584,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588604,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588629,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588646,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588669,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588683,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588702,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588724,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588746,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588769,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588790,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588801,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588824,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588846,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588868,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588890,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588912,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588923,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588945,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588967,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150588999,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589012,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589023,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589047,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589068,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589081,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589102,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589124,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589147,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589170,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589192,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589203,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589226,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589248,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589269,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589292,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589303,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589326,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589348,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589369,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589392,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589403,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589424,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589448,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589469,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589492,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589503,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589525,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589547,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589571,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589581,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589603,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589626,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589648,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589669,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589681,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589703,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589725,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589748,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589769,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589781,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589803,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589825,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589848,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589870,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589891,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589903,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589926,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589947,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589970,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150589981,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590003,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590025,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590047,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590069,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590081,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590103,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590125,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590147,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590169,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590192,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590203,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590225,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590248,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590270,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590291,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590302,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590325,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590347,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590369,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590381,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590402,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590425,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590447,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590468,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590491,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590503,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590524,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590547,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590568,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590591,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590602,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590624,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590647,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590669,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590691,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590702,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590725,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590747,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590769,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590791,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590802,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590824,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590847,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590869,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590881,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590902,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590924,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590946,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590969,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150590992,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591003,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591025,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591047,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591069,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591092,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591103,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591124,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591146,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591168,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591191,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591202,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591224,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591246,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591269,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591290,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591301,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591324,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1743150591346,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
