Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742548089064,10, 0,65,IM24011,Group 3,,,,,,
1742547728791,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742547777012,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742547782775,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742547810378,,,,,,ItemPicked,Item Book_42 Picked.,4.504783 0.7161542 -0.1247235,270 0.1566241 0,0,False
1742547815360,,,,,,ItemObserved,Observed Book_42,4.380006 1.372494 0.2252765,331.8943 43.44704 356.1734,0,False
1742547817275,,,,,,ItemDropped,Item Book_42 Dropped.,4.393465 1.05448 0.04170393,310.4453 12.661 358.9544,0,False
1742547820736,,,,,,ItemPicked,Item Book_10 Picked.,4.57043 0.7161562 -1.580789,270 356.502 0,0,False
1742547822190,,,,,,ItemDropped,Item Book_10 Dropped.,4.514016 0.7721623 -1.476692,271.7961 355.369 6.840794,0,False
1742547825265,,,,,,ItemPicked,Item Book_07 Picked.,4.476781 0.7161511 -3.015202,270 0.1729567 0,0,False
1742547827387,,,,,,ItemDropped,Item Book_07 Dropped.,4.444454 0.7121977 -2.811513,273.4618 38.76473 319.6049,0,False
1742547829086,,,,,,ItemPicked,Item Book_07 Picked.,4.444381 0.7161501 -2.811401,270 358.3245 0,0,False
1742547834094,,,,,,ItemObserved,Observed Book_07,4.438635 1.131249 -2.956353,306.3299 348.2122 1.15897,0,False
1742547834783,,,,,,ItemDropped,Item Book_07 Dropped.,4.436276 0.7423515 -2.817319,274.5905 324.8531 26.57728,0,False
1742547838338,,,,,,ItemPicked,Item Cup Picked.,7.187245 0.6848865 -3.928098,270.0443 8.581358 0,0,False
1742547838948,,,,,,ItemDropped,Item Cup Dropped.,6.962756 0.6698829 -4.004413,275.3874 114.7924 269.6554,0,False
1742547840203,,,,,,ItemPicked,Item Cup Picked.,6.926116 0.723183 -3.988125,359.9608 292.4314 89.98579,0,False
1742547845211,,,,,,ItemObserved,Observed Cup,6.937871 0.8694029 -4.019703,358.0503 334.7784 359.876,0,False
1742547845789,,,,,,ItemDropped,Item Cup Dropped.,6.924138 0.6308725 -4.020598,273.5877 120.6084 214.8185,0,False
1742547847500,,,,,,ItemPicked,Item PencilLightGreen Picked.,7.089976 0.6910486 -3.869622,334.4781 356.6776 267.8527,0,False
1742547849976,,,,,,ItemDropped,Item PencilLightGreen Dropped.,7.096176 0.7224206 -3.898976,327.4879 4.997202 258.0233,0,False
1742547851086,,,,,,ItemPicked,Item Cup Picked.,6.828413 0.7230014 -4.001402,0.01280319 89.2864 269.8997,0,False
1742547851997,,,,,,ItemDropped,Item Cup Dropped.,6.902938 0.6596662 -3.965778,290.6739 159.7164 213.2027,0,False
1742547860659,,,,,,ItemPicked,Item spiral notebook Picked.,8.176466 0.6975918 -4.088649,359.9591 348.152 0.008557602,0,False
1742547865668,,,,,,ItemObserved,Observed spiral notebook,8.154343 1.059336 -3.819126,2.054613 281.6515 320.2381,0,False
1742547866668,,,,,,ItemDropped,Item spiral notebook Dropped.,8.289481 0.6725929 -4.07148,343.4695 279.6058 354.252,0,False
1742547871038,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1742547878241,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1742547878242,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878250,,,,,,BookPlaced,Book placed on the shelf.,-4.452037 0.8425905 0.282143,359.8906 -0.002423101 359.9161,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.440324 0.8426113 0.3557748,359.9005 359.9923 359.9105,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.43806 0.8426028 0.2602762,359.8865 0.00201802 359.9245,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.463401 0.8425658 0.2202217,359.8871 359.9905 359.9188,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.435539 0.1706246 0.32608,359.9823 359.993 359.9012,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.434061 0.1706988 0.3563313,359.9258 0.003928952 359.9395,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.460687 0.8425583 0.1804587,359.8874 359.9911 359.9271,0,False
1742547878251,,,,,,BookPlaced,Book placed on the shelf.,-4.425818 0.1706647 0.2112259,359.9308 0.006453678 359.9675,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.423772 0.1706389 0.1806575,359.9281 0.005882486 359.9646,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.423538 0.1706094 0.3768496,359.9768 359.9896 359.8768,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.421232 0.1706829 0.2431523,359.9515 0.005404583 359.9632,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.419279 0.1707323 0.298236,359.9366 0.007232803 359.9698,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.403513 0.1705935 0.1517436,359.9841 -0.003517879 359.9286,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.402656 0.8425953 0.3130981,359.8873 359.9885 359.8973,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1742547878252,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1742547878253,,,,,,BookPlaced,Book placed on the shelf.,-4.395063 0.5018947 0.1796626,359.9633 359.4983 0.3157428,0,False
1742547878253,,,,,,BookPlaced,Book placed on the shelf.,-4.330052 0.488492 0.1413182,359.6435 359.8748 359.8983,0,False
1742547878253,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878256,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878259,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878261,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878263,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878266,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878269,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878271,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878273,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878276,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878278,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878281,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547878282,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547879301,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547879320,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742547879345,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
