Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1745823106530,0, 0,85,D24006,Group 4,,,,,,
1745822700457,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1745822772878,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745822776043,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745822791643,,,,,,ItemPicked,Item monitor Picked.,9.711729 0.6856453 -4.12104,270.0343 75.01344 0,0,False
1745822796634,,,,,,ItemObserved,Observed monitor,10.24899 1.361735 -3.699404,276.4906 342.5912 34.20026,0,False
1745822798292,,,,,,ItemDropped,Item monitor Dropped.,9.691226 0.804877 -4.000597,271.8449 355.2867 74.50064,0,False
1745822804830,,,,,,ItemPicked,Item spiral notebook Picked.,8.176343 0.6981134 -4.093284,359.9832 348.0247 359.9667,0,False
1745822808817,,,,,,ItemDropped,Item spiral notebook Dropped.,8.020679 1.195521 -3.638741,355.6927 21.21339 284.6858,0,False
1745822808984,,,,,,ItemPicked,Item spiral notebook Picked.,8.00759 1.015967 -3.686983,350.7777 22.33016 280.2874,0,False
1745822809172,,,,,,ItemDropped,Item spiral notebook Dropped.,8.063447 1.040323 -3.687723,357.8354 14.99247 286.9641,0,False
1745822812126,,,,,,ItemPicked,Item spiral notebook Picked.,8.128947 -0.02155511 -3.128599,0.1450405 151.1637 180.1276,0,False
1745822817134,,,,,,ItemObserved,Observed spiral notebook,8.398923 0.926279 -4.049067,6.398726 61.07347 239.799,0,False
1745822818258,,,,,,ItemDropped,Item spiral notebook Dropped.,8.353756 0.7265849 -4.219111,23.25867 32.64457 184.0262,0,False
1745822834593,,,,,,ItemPicked,Item PencilBlue Picked.,7.174406 0.6929415 -3.855986,83.52873 75.26011 240.4231,0,False
1745822839601,,,,,,ItemObserved,Observed PencilBlue,7.319203 0.967853 -3.706746,51.30445 309.7048 126.0465,0,False
1745822840924,,,,,,ItemDropped,Item PencilBlue Dropped.,7.192308 0.7856815 -3.944463,73.87574 332.7113 148.1329,0,False
1745822847354,,,,,,ItemPicked,Item Book_07 Picked.,4.474871 0.7161528 -2.996314,270 353.4826 0,0,False
1745822852361,,,,,,ItemObserved,Observed Book_07,4.649555 1.076228 -3.084634,311.8719 17.10625 347.324,0,False
1745822853328,,,,,,ItemDropped,Item Book_07 Dropped.,4.51194 0.7483362 -2.962026,276.0132 79.02459 276.0049,0,False
1745822857070,,,,,,ItemPicked,Item Book_10 Picked.,4.570455 0.7161552 -1.580771,270 356.5029 0,0,False
1745822862078,,,,,,ItemObserved,Observed Book_10,4.737895 1.068438 -1.652291,317.5267 32.21971 336.2739,0,False
1745822863123,,,,,,ItemDropped,Item Book_10 Dropped.,4.529357 0.7501675 -1.59,272.9951 129.3683 224.6634,0,False
1745822866809,,,,,,ItemPicked,Item Book_42 Picked.,4.504783 0.7161543 -0.1247234,270 0.1566213 0,0,False
1745822871819,,,,,,ItemObserved,Observed Book_42,4.862564 1.081838 -0.1488944,312.2504 50.7085 317.5997,0,False
1745822873166,,,,,,ItemDropped,Item Book_42 Dropped.,4.487551 0.7419018 -0.1824733,277.9594 264.426 83.79089,0,False
1745822880781,,,,,,ItemPicked,Item PencilYellow Picked.,7.171453 0.6889015 -3.799792,276.4773 71.437 270.7409,0,False
1745822883903,,,,,,ItemDropped,Item PencilYellow Dropped.,7.16817 0.7862201 -3.854119,289.5927 23.23953 306.827,0,False
1745822884790,,,,,,ItemPicked,Item PencilRed Picked.,7.27063 0.6890199 -3.861302,344.4761 109.9237 270.0239,0,False
1745822886911,,,,,,ItemDropped,Item PencilRed Dropped.,7.177002 0.7636368 -3.893842,356.1568 96.12703 278.5036,0,False
1745822887743,,,,,,ItemPicked,Item PencilGrey Picked.,7.314221 0.6886437 -3.972373,32.92873 357.1416 89.94618,0,False
1745822890406,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1745822896147,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1745822896147,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.452031 0.8425936 0.2821371,359.8921 -0.001507857 359.9185,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.440317 0.842616 0.3557679,359.9022 359.9934 359.9133,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.438054 0.8426069 0.2602703,359.888 0.002796942 359.9266,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.463396 0.8425696 0.2202159,359.8889 359.9916 359.9209,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.435473 0.1706722 0.3262261,359.9259 0.003175494 359.9375,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.434112 0.1706362 0.3563696,359.9161 0.0001736706 359.9074,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.460683 0.842562 0.1804532,359.8892 359.9921 359.9288,0,False
1745822896156,,,,,,BookPlaced,Book placed on the shelf.,-4.425814 0.1706683 0.2112202,359.9325 0.006732629 359.9685,0,False
1745822896157,,,,,,BookPlaced,Book placed on the shelf.,-4.423778 0.1706254 0.1806637,359.9266 0.005298942 359.9594,0,False
1745822896157,,,,,,BookPlaced,Book placed on the shelf.,-4.42345 0.1706847 0.3769843,359.922 0.002243858 359.9245,0,False
