Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1745827586635,10, 0,82,intern,Group 4,,,,,,
1745827171015,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1745827221923,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745827224232,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745827254259,,,,,,ItemPicked,Item Book_07 Picked.,4.476781 0.7161503 -3.015203,270 0.1733601 0,0,False
1745827259250,,,,,,ItemObserved,Observed Book_07,4.683946 0.9772335 -3.25169,292.3412 302.3815 45.3727,0,False
1745827259576,,,,,,ItemDropped,Item Book_07 Dropped.,4.669511 0.8002565 -2.995816,293.0319 306.7407 43.84031,0,False
1745827268069,,,,,,ItemPicked,Item Book_10 Picked.,4.570455 0.7161552 -1.580771,270 356.5029 0,0,False
1745827273076,,,,,,ItemObserved,Observed Book_10,4.682388 1.075532 -1.722101,299.0745 39.20324 341.8162,0,False
1745827273288,,,,,,ItemDropped,Item Book_10 Dropped.,4.692908 0.7814447 -1.607797,299.3334 40.44189 345.5602,0,False
1745827275375,,,,,,ItemPicked,Item Book_42 Picked.,4.504169 0.7161546 -0.119512,270 359.1682 0,0,False
1745827280383,,,,,,ItemObserved,Observed Book_42,4.658932 1.069861 -0.2390018,283.5988 18.1948 329.1213,0,False
1745827280639,,,,,,ItemDropped,Item Book_42 Dropped.,4.607667 0.7682652 -0.204906,284.4455 20.35342 328.8196,0,False
1745827286892,,,,,,ItemPicked,Item PencilBlue Picked.,7.145919 0.6885496 -3.818264,271.8322 270.6313 89.33849,0,False
1745827291899,,,,,,ItemObserved,Observed PencilBlue,6.965706 0.8096882 -3.696715,279.4998 83.65723 289.626,0,False
1745827292433,,,,,,ItemDropped,Item PencilBlue Dropped.,6.870643 0.757696 -3.882572,285.2946 124.9905 254.2482,0,False
1745827293966,,,,,,ItemPicked,Item Cup Picked.,7.187709 0.7295401 -3.893808,1.196404 9.041726 7.681578,0,False
1745827298974,,,,,,ItemObserved,Observed Cup,6.952261 0.7573617 -3.919221,82.04266 134.1967 109.9602,0,False
1745827299341,,,,,,ItemDropped,Item Cup Dropped.,6.873735 0.7559713 -4.126529,1.694125 23.14187 5.781125,0,False
1745827302207,,,,,,ItemPicked,Item spiral notebook Picked.,8.176142 0.6977886 -4.093084,359.9916 348.0386 359.9917,0,False
1745827307213,,,,,,ItemObserved,Observed spiral notebook,9.624582 0.9422256 -3.713297,19.15666 327.5336 13.06111,0,False
1745827307715,,,,,,ItemDropped,Item spiral notebook Dropped.,9.762009 0.8856775 -3.876249,19.15666 327.5336 13.06111,0,False
1745827316821,,,,,,ItemPicked,Item spiral notebook Picked.,9.793195 0.6981405 -3.880794,359.9875 323.8612 359.9919,0,False
1745827318076,,,,,,ItemDropped,Item spiral notebook Dropped.,11.08493 0.883046 -3.641053,13.42338 308.1261 13.67718,0,False
1745827322829,,,,,,ItemPicked,Item spiral notebook Picked.,12.16096 -0.01760512 -3.582206,0.01273326 318.8172 359.9459,0,False
1745827325407,,,,,,ItemPicked,Item spiral notebook Picked.,12.74718 0.2660957 -3.241578,35.42895 328.5296 13.7458,0,False
1745827325550,,,,,,ItemDropped,Item spiral notebook Dropped.,12.74679 0.2556884 -3.248037,41.7688 333.0854 0.8185385,0,False
1745827325663,,,,,,ItemPicked,Item spiral notebook Picked.,12.7491 0.2558458 -3.253378,41.20222 333.37 0.8514817,0,False
1745827325773,,,,,,ItemDropped,Item spiral notebook Dropped.,12.74845 0.258984 -3.252531,41.32883 333.2477 1.031873,0,False
1745827329348,,,,,,ItemDropped,Item spiral notebook Dropped.,12.30397 0.9378922 -0.962584,45.65504 345.7813 11.96867,0,False
1745827336044,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745827337766,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1745827364142,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1745827376012,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1745827376012,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376020,,,,,,BookPlaced,Book placed on the shelf.,-4.452039 0.8425815 0.2821356,359.8896 0.005907625 359.9119,0,False
1745827376021,,,,,,BookPlaced,Book placed on the shelf.,-4.44031 0.8426185 0.3557602,359.902 0.001194682 359.9089,0,False
1745827376021,,,,,,BookPlaced,Book placed on the shelf.,-4.438063 0.8426017 0.2602665,359.8858 0.01037917 359.9205,0,False
1745827376021,,,,,,BookPlaced,Book placed on the shelf.,-4.463408 0.8425629 0.2202162,359.8858 -0.001515235 359.9133,0,False
1745827376021,,,,,,BookPlaced,Book placed on the shelf.,-4.435449 0.1706848 0.326223,359.9238 0.01084153 359.9353,0,False
1745827376021,,,,,,BookPlaced,Book placed on the shelf.,-4.434087 0.1706438 0.3563682,359.9138 0.00777074 359.9029,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.460699 0.8425556 0.1804542,359.8858 -0.001127123 359.9213,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.4258 0.1706809 0.2112156,359.9306 0.01428483 359.967,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.423758 0.1706526 0.180648,359.9276 0.01360159 359.9633,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.42342 0.1706976 0.37698,359.9205 0.009933926 359.9221,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.421202 0.1707168 0.2431287,359.9541 0.01495649 359.97,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.419257 0.1707402 0.2982332,359.9348 0.01454423 359.9651,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.40345 0.1706277 0.1518845,359.9262 0.01271711 359.9587,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.402658 0.842584 0.3130848,359.8894 -0.003387139 359.8896,0,False
1745827376022,,,,,,BookPlaced,Book placed on the shelf.,-4.395036 0.5019091 0.179717,359.9337 359.5027 0.3292229,0,False
1745827376023,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1745827376023,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1745827376023,,,,,,BookPlaced,Book placed on the shelf.,-4.330063 0.4884868 0.1413101,359.6455 359.8794 359.8898,0,False
1745827376023,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376027,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376030,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376032,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376034,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376037,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376040,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376043,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376045,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376047,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376049,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376052,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376803,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376815,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376834,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376855,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376876,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376898,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376921,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376943,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376954,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376976,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827376999,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377022,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377043,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377053,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377076,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377099,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377121,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377144,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377154,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377178,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377200,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377221,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377242,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377254,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377276,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377299,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377320,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377343,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377354,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377377,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377400,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377422,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377436,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377458,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377480,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377502,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377523,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377535,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377558,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377579,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377602,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377624,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377635,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377657,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377679,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377702,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377723,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377735,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377756,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377779,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377802,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1745827377824,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
