ID,Group,Task,Information,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,ItemsPickedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,BooksPlacedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsObservedAfterEarthquake,CoverAttempts,AverageDurationInTableCover,Total Duration In table Cover,Total Duration In table Cover Before Earthquake,Total Duration In table Cover During Earthquake,Total Duration In table Cover After Earthquake,SittingTransitions,AverageSeatedDuration,Total Seated Duration,Total Seated Duration Before Earthquake,Total Seated Duration During Earthquake,Total Seated Duration After Earthquake
49_B22293,Group 4,No Task,Not Given,0,0,16,0.0,0.0,0.0,0.0,0.0,4.0,2,8.406,16.812,11.438,5.374,0.0,11,4.974636363636364,54.721,23.891,23.289,7.541
26_B22116,Group 1,Book Task,Given,4,1,8,3.0,1.0,4.0,0.0,0.0,0.0,2,3.593,7.186,0.0,5.987,1.199,8,4.56725,36.538,0.0,34.26,2.278
52_B21091,Group 3,No Task,Given,4,2,4,0.0,0.0,0.0,2.0,1.0,4.0,1,2.865,2.865,2.865,0.0,0.0,6,11.160833333333334,66.965,0.0,42.308,24.657
55_B22099,Group 4,No Task,Not Given,8,7,13,0.0,0.0,0.0,4.0,5.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
66_B22114,Group 4,No Task,Not Given,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,44.601,44.601,0.0,0.0,44.601,4,16.7285,66.914,0.0,0.0,66.914
71_B22121,Group 4,No Task,Not Given,3,1,7,0.0,0.0,0.0,2.0,0.0,2.0,2,30.3675,60.735,0.0,53.24,7.495,12,5.920083333333333,71.041,0.0,58.09,12.951
29_B22128,Group 2,Book Task,Not Given,4,3,4,3.0,3.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8_B22229,Group 2,Book Task,Not Given,5,11,15,2.0,4.0,7.0,0.0,0.0,0.0,1,1.944,1.944,0.0,0.0,1.944,18,2.3839444444444444,42.911,30.103,12.808,0.0
44_B22095,Group 1,Book Task,Given,6,2,8,3.0,1.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,3.4635,55.416,3.156,52.216,0.044
17_B2294,Group 1,Book Task,Given,6,1,5,2.0,1.0,4.0,0.0,0.0,0.0,3,2.6053333333333333,7.816,0.699,6.398,0.719,18,2.127944444444444,38.303,10.168,27.274,0.861
24_B20265,Group 1,Book Task,Given,3,4,5,2.0,1.0,4.0,0.0,0.0,0.0,1,2.821,2.821,0.0,0.0,2.821,1,0.899,0.899,0.0,0.0,0.899
60_B22153,Group 3,No Task,Given,4,0,12,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,10,7.089600000000001,70.896,0.0,39.722,31.174
30_B22146,Group 1,Book Task,Given,2,0,6,1.0,1.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,9.023875,72.191,8.897,53.331,9.963
19_B22094,Group 1,Book Task,Given,5,0,5,2.0,0.0,2.0,0.0,0.0,0.0,1,33.34,33.34,0.0,32.174,1.166,7,6.498857142857143,45.492,0.0,42.993,2.499
73_B20001,Group 4,No Task,Not Given,5,0,6,0.0,0.0,0.0,1.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,1,7.609,7.609,0.0,0.0,7.609
15_B22115,Group 1,Book Task,Given,1,1,6,0.0,0.0,5.0,0.0,0.0,0.0,3,6.496666666666667,19.49,0.0,17.468,2.022,8,4.9975,39.98,0.0,39.074,0.906
16_B22105,Group 2,Book Task,Not Given,3,4,4,2.0,4.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
46_B22106,Group 3,No Task,Given,4,1,6,0.0,0.0,0.0,0.0,1.0,3.0,2,24.549,49.098,0.0,46.345,2.753,13,5.652615384615385,73.484,0.0,48.471,25.013
43_B22145,Group 2,Book Task,Not Given,8,6,3,7.0,2.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.687,1.687,0.0,0.0,1.687
