ID,Group,Task,Information,AverageDurationInTableCover,AverageSeatedDuration,BooksPlacedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,CoverAttempts,ItemsObservedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsPickedAfterEarthquake,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,SittingTransitions,TimeNearCornerAfterEarthquake,TimeNearCornerBeforeEarthquake,TimeNearCornerDuringEarthquake,TimeNearWallAfterEarthquake,TimeNearWallBeforeEarthquake,TimeNearWallDuringEarthquake,TotalDurationInTableCover,TotalDurationInTableCoverAfterEarthquake,TotalDurationInTableCoverBeforeEarthquake,TotalDurationInTableCoverDuringEarthquake,TotalSeatedDuration,TotalSeatedDurationAfterEarthquake,TotalSeatedDurationBeforeEarthquake,TotalSeatedDurationDuringEarthquake,TotalTimeNearCorner,TotalTimeNearWall
19_B22094,Group 1,Book Task,Given,33.34,6.498857142857143,2.0,2.0,0.0,1,0.0,0.0,0.0,5,5,0,7,0.0,0.0,0.0,14.667,0.035,4.021,33.34,1.166,0.0,32.174,45.492,2.499,0.0,42.993,0.0,18.723
85_D24006,Group 3,No Task,Given,0.0,14.773666666666665,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,12,0.0,0.0,0.0,53.978,14.789,15.029,0.0,0.0,0.0,0.0,177.284,88.922,32.651,55.711,0.0,83.796
22_B22177,Group 2,Book Task,Not Given,2.421,0.7196666666666667,4.0,1.0,3.0,1,0.0,0.0,0.0,7,1,5,6,0.0,0.0,0.0,0.001,0.012,0.004,2.421,2.421,0.0,0.0,4.318,0.0,0.0,4.318,0.0,0.017
30_B22146,Group 1,Book Task,Given,0.0,9.023875,6.0,1.0,1.0,0,0.0,0.0,0.0,6,2,0,8,0.0,0.0,0.0,2.944,13.093,4.186,0.0,0.0,0.0,0.0,72.191,9.963,8.897,53.331,0.0,20.223
27_B22208,Group 2,Book Task,Not Given,0.0,0.0,4.0,3.0,3.0,0,0.0,0.0,0.0,4,4,3,0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
28_B22104,Group 1,Book Task,Given,0.0,0.0,4.0,3.0,3.0,0,0.0,0.0,0.0,4,4,3,0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
20_B22202,Group 2,Book Task,Not Given,0.0,0.0,3.0,2.0,1.0,0,0.0,0.0,0.0,6,7,3,0,0.0,0.0,0.0,0.003,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029
24_B20265,Group 1,Book Task,Given,2.821,0.899,4.0,2.0,1.0,1,0.0,0.0,0.0,5,3,4,1,0.0,4.941,1.1,4.752,14.611,12.225,2.821,2.821,0.0,0.0,0.899,0.899,0.0,0.0,6.041,31.588
46_B22106,Group 3,No Task,Given,24.549,5.652615384615385,0.0,0.0,0.0,2,3.0,0.0,1.0,6,4,1,13,0.0,0.0,0.0,0.0,27.642,47.886,49.098,2.753,0.0,46.345,73.484,25.013,0.0,48.471,0.0,75.528
64_B22147,Group 4,No Task,Not Given,0.755,5.625111111111111,0.0,0.0,0.0,1,1.0,1.0,1.0,4,2,3,9,0.0,0.0,0.0,43.787,0.0,9.115,0.755,0.755,0.0,0.0,50.626,43.207,0.0,7.419,0.0,52.902
57_B22098,Group 4,No Task,Not Given,10.4275,5.8285,0.0,0.0,0.0,2,7.0,7.0,2.0,9,10,2,6,0.0,0.0,0.0,6.108,0.11,2.043,20.855,0.997,0.0,19.858,34.971,5.299,0.0,29.672,0.0,8.261
82_Intern,Group 4,No Task,Not Given,0.0,3.02640625,0.0,0.0,0.0,0,5.0,4.0,2.0,8,6,5,64,0.0,0.0,0.0,2.059,0.0,0.0,0.0,0.0,0.0,0.0,193.69,86.241,48.596,58.853,0.0,2.059
37_B22085,Group 2,Book Task,Not Given,0.0,0.0,2.0,2.0,2.0,0,0.0,0.0,0.0,6,2,3,0,0.0,0.0,0.0,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013
76_B22130,Group 3,No Task,Given,2.745,12.106,0.0,0.0,0.0,1,3.0,3.0,2.0,7,4,2,2,0.0,0.0,0.0,0.0,0.823,3.433,2.745,2.745,0.0,0.0,24.212,15.56,0.0,8.652,0.0,4.256
8_B22229,Group 2,Book Task,Not Given,1.944,2.3839444444444444,7.0,2.0,4.0,1,0.0,0.0,0.0,15,5,11,18,0.0,0.0,0.0,0.038,0.026,0.857,1.944,1.944,0.0,0.0,42.911,0.0,30.103,12.808,0.0,0.921
77_intern,Group 4,No Task,Not Given,10.551,6.720090909090909,0.0,0.0,0.0,1,4.0,6.0,3.0,5,9,3,11,0.0,0.0,0.0,4.611,44.457,48.239,10.551,10.551,0.0,0.0,73.921,46.248,0.0,27.673,0.0,97.307
59_B22144,Group 4,No Task,Not Given,0.0,0.0,0.0,0.0,0.0,0,7.0,5.0,6.0,11,6,8,0,0.0,0.0,0.0,0.0,1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402
71_B22121,Group 4,No Task,Not Given,30.3675,5.920083333333333,0.0,0.0,0.0,2,2.0,2.0,0.0,7,3,1,12,0.0,0.0,0.0,0.0,0.0,0.0,60.735,7.495,0.0,53.24,71.041,12.951,0.0,58.09,0.0,0.0
