id,Group,Task,Information,Gamma/Beta Ratio durPost,Beta/Alpha Ratio durEarthquake,Beta/Theta Ratio durEarthquake,Theta/Beta Ratio durEarthquake,Frontal Alpha Asymmetry durEarthquake,Frontal Alpha Asymmetry durPre,Alpha/Beta Ratio durPost,Theta/Beta Ratio durPost,Beta/Theta Ratio durPre,Alpha/Beta Ratio durPre,Beta/Theta Ratio durPost,Gamma/Beta Ratio durEarthquake,Beta/Alpha Ratio durPost,Frontal Alpha Asymmetry durPost,Theta/Beta Ratio durPre,Gamma/Beta Ratio durPre,Alpha/Beta Ratio durEarthquake,Beta/Alpha Ratio durPre
5,1,Book Task,Given,2.250817882,12.99544144,6.372938761,0.15691348,1.384360914,4.495309104,0.029664513,0.151641493,16.25914793,0.019355436,6.594501153,0.870180468,33.7103124,5.207097031,0.061503838,1.111468585,0.07695006,51.66507203
6,2,Book Task,Not Given,3.395481457,3.286682044,1.164611871,0.858655166,-0.429431396,1.092637383,0.278237456,0.248505825,4.205058321,0.086976511,4.024050548,0.543373956,3.594052407,1.515535489,0.23780883,0.586105124,0.304258211,11.49735708
7,1,Book Task,Given,0.344975601,10.69946481,2.484657666,0.402469931,0.165873827,1.631870992,0.109000836,0.312273427,33.21800563,0.026895065,3.202321795,0.228905954,9.174241593,1.005602488,0.030104155,0.21430796,0.093462619,37.18154274
8,2,Book Task,Not Given,0.820435957,63.1133552,2.396647203,0.417249564,1.431752752,4.044183791,0.597282568,0.873796589,3.914151004,0.155682674,1.14443111,2.155087792,1.674249431,1.575153761,0.255483245,0.280606442,0.015844507,6.423322366
9,1,Book Task,Given,2.62420185,10.46302252,5.151055204,0.19413498,5.140533614,3.21209129,0.027582909,0.101085399,4.160485857,0.070110314,9.89262555,1.461847897,36.25433391,4.641102478,0.240356544,3.960141843,0.095574677,14.26323656
10,2,Book Task,Not Given,2.25538115,5.33781007,1.61788989,0.618089034,5.026238808,5.57364013,0.155612359,0.544503016,5.398045757,0.176006134,1.836537118,2.121958178,6.42622478,3.696393966,0.185252227,2.743365028,0.187342747,5.68162018
11,1,Book Task,Given,0.154099534,67.31242869,55.55152235,0.018001307,2.400930911,0.483846156,0.020122377,0.054676193,3.361291017,0.145556642,18.28949561,0.091738696,49.69591902,2.343588695,0.297504737,0.248816134,0.014856097,6.87017773
13,1,Book Task,Given,0.916644768,15.56190841,2.624911899,0.380965167,2.732839907,1.822749864,0.122903081,0.51397705,1.957961751,0.282413287,1.945612163,0.572028147,8.136492555,2.205453003,0.510735207,1.046595618,0.064259471,3.540909886
14,2,Book Task,Not Given,2.799359668,15.38162243,8.959812822,0.111609474,-0.280666679,1.045472693,0.108358262,0.189286415,6.001317143,0.094609803,5.282999299,0.483359191,9.228645629,1.165159661,0.166630087,0.350255287,0.065012648,10.56972917
15,1,Book Task,Given,1.527241488,22.22392567,3.94907742,0.253223701,4.382829116,6.303089071,0.033745999,0.069678204,11.72260127,0.019632999,14.3516903,1.046288474,29.63314246,5.648821474,0.085305298,1.170409062,0.044996551,50.93465345
16,2,Book Task,Not Given,8.576904577,8.60958732,4.213735207,0.237319136,-0.117202154,-1.769699168,0.217633607,0.721957306,5.391283201,0.059641246,1.385123459,2.622843983,4.59487858,-0.880764588,0.185484599,11.87825785,0.116149586,16.76692005
17,1,Book Task,Given,0.471789799,12.74208168,3.228966058,0.309696659,0.160123922,2.421118059,0.214252052,0.389144547,5.767603209,0.023807686,2.56973921,0.206301771,4.667399881,0.080945931,0.173382246,0.626565096,0.078480112,42.00324268
18,2,Book Task,Not Given,0.372786587,6.433005517,5.376618461,0.185990508,6.686429697,6.442591659,0.348959353,0.662931091,2.345314319,0.094024304,1.508452408,9.195733567,2.865663271,2.864609464,0.426382081,9.966879325,0.155448336,10.63554804
19,1,Book Task,Given,0.432411089,5.393897805,3.602468477,0.277587439,1.552940131,5.192382096,0.126787415,0.574113393,2.507438533,0.018157776,1.741816184,0.357442958,7.887218115,0.627110788,0.398813365,2.113429825,0.185394688,55.07282508
20,2,Book Task,Not Given,0.410906197,34.2831627,20.61071914,0.048518443,5.56043836,5.421331755,0.025914588,0.066322994,14.03179787,0.032151182,15.07772715,0.242466665,38.58830361,5.617168859,0.071266705,4.30942488,0.029168837,31.10305515
21,1,Book Task,Given,0.510472277,38.95602008,7.550786784,0.13243653,4.934380308,5.033697384,0.223980144,0.286831562,7.336976962,0.02614626,3.486366673,0.563446061,4.464681473,4.804898112,0.136295917,0.505992459,0.025669973,38.24638822
22,2,Book Task,Not Given,0.11146497,17.7877515,8.692514757,0.115041507,2.456670644,4.310684429,0.045151176,0.078762093,27.62943402,0.040168007,12.69646308,0.132384754,22.14781733,2.618587911,0.036193286,0.070099001,0.05621846,24.89543457
23,2,Book Task,Not Given,0.056834294,15.59867785,5.017230671,0.19931314,4.17268466,2.36356036,0.032063523,0.063662742,9.929928033,0.037101528,15.70777466,0.182984845,31.18808904,5.082049734,0.100705664,0.250846578,0.064107997,26.95306784
24,1,Book Task,Given,0.226018379,30.96395272,6.839887219,0.146201241,2.100429335,0.762090407,0.089913687,0.240166277,5.345388791,0.03850315,4.163781918,0.316606196,11.12177721,-0.599974479,0.187077131,0.303901196,0.032295618,25.97190093
25,2,Book Task,Not Given,5.837561539,37.83930745,19.70713623,0.05074304,-0.432298098,,0.124065696,0.222144426,,,4.501575921,0.215184681,8.060245747,-0.911944234,,,0.026427545,
26,1,Book Task,Given,0.445167994,7.401387665,3.299966542,0.303033375,-0.040308192,7.685183701,0.435127387,0.705575578,13.86695088,0.023942638,1.417282614,0.405193445,2.298177569,-0.502779906,0.072113907,0.155307879,0.135109799,41.76649202
27,2,Book Task,Not Given,4.51221035,19.51937974,6.78267305,0.147434499,1.851842649,2.554653831,0.091580159,0.340756338,6.760572411,0.075603653,2.934648281,4.843044459,10.91939573,1.635604835,0.147916469,5.231009421,0.051231136,13.22687414
28,1,Book Task,Given,0.47656376,79.72518861,9.802502585,0.102014765,3.123046721,6.507039122,0.01707581,0.128475655,5.997254921,0.046101062,7.78357579,0.893775612,58.56237669,-0.695036668,0.166742954,2.001725487,0.012543087,21.69147423
29,2,Book Task,Not Given,0.117520612,39.39577819,15.0588271,0.066406234,2.031900739,2.214042113,0.014854386,0.045244081,23.88340304,0.031614084,22.10233845,0.305652306,67.32018402,0.759929455,0.04187008,1.535721804,0.025383431,31.63147201
30,1,Book Task,Given,0.064521265,20.20439211,14.48487183,0.069037546,2.706132502,2.037692215,0.010127831,0.037333704,16.18031323,0.048178844,26.78544864,0.234093912,98.73782871,4.504805705,0.061803501,0.274552509,0.049494189,20.7559984
31,2,Book Task,Not Given,0.247279467,15.52721212,5.339659165,0.187277871,0.319054729,3.688064163,0.06635551,0.088900863,18.69522025,0.028693832,11.24848477,0.472330194,15.07033856,1.696343547,0.053489608,0.325848634,0.064403062,34.85069556
32,1,Book Task,Given,0.580909414,3.317331733,1.618471099,0.617867072,-1.162530631,-1.162038148,0.059587711,0.797312516,1.451289115,0.089179578,1.254213347,0.637200142,16.78198388,-0.080135022,0.689042583,2.251329948,0.301447091,11.21332963
