Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742467870570,0, 0,60,b22153,Group 3,,,,,,
1742467471148,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742467509982,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742467512003,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742467551825,,,,,,ItemPicked,Item Book_07 Picked.,4.474819 0.7161518 -2.99634,270.0198 353.4888 0,0,False
1742467556816,,,,,,ItemObserved,Observed Book_07,5.45262 1.011549 -3.277104,294.4845 109.1884 300.5294,0,False
1742467564927,,,,,,ItemDropped,Item Book_07 Dropped.,12.23572 0.7919348 -1.379828,276.7811 1.865209 179.3582,0,False
1742467573042,,,,,,ItemPicked,Item Book_10 Picked.,4.571947 0.7161517 -1.593474,270 0.2834032 0,0,False
1742467578049,,,,,,ItemObserved,Observed Book_10,5.105281 1.081572 -1.523342,297.1527 267.8826 289.7448,0,False
1742467581504,,,,,,ItemDropped,Item Book_10 Dropped.,11.92271 0.8676209 -1.258192,290.8186 297.0418 304.4519,0,False
1742467592365,,,,,,ItemPicked,Item Book_42 Picked.,4.504783 0.7161542 -0.1247234,270 0.1566228 0,0,False
1742467592433,,,,,,ItemDropped,Item Book_42 Dropped.,4.521224 0.7173569 -0.1243641,271.4893 218.2028 142.8405,0,False
1742467592899,,,,,,ItemPicked,Item Book_42 Picked.,4.521315 0.7161503 -0.1242915,270 1.068711 0,0,False
1742467597906,,,,,,ItemObserved,Observed Book_42,8.244137 1.127077 -0.3892983,316.5823 255.0846 289.0175,0,False
1742467601650,,,,,,ItemDropped,Item Book_42 Dropped.,11.98368 0.8497168 -1.349258,280.7683 345.6622 205.8,0,False
1742467608169,,,,,,ItemPicked,Item spiral notebook Picked.,8.176337 0.6979158 -4.09271,0.008454361 348.0332 359.9926,0,False
1742467613177,,,,,,ItemObserved,Observed spiral notebook,8.141348 0.9108776 -3.849349,17.72747 343.1828 0.5081226,0,False
1742467616209,,,,,,ItemDropped,Item spiral notebook Dropped.,8.21526 0.7705626 -4.096468,5.94408 345.6827 3.431738,0,False
1742467619486,,,,,,ItemPicked,Item Cup Picked.,7.184666 0.7280303 -3.885596,0.2903776 6.601445 7.871101,0,False
1742467624494,,,,,,ItemObserved,Observed Cup,7.068619 0.8135145 -3.395338,47.58205 154.7321 144.4692,0,False
1742467627627,,,,,,ItemDropped,Item Cup Dropped.,6.766773 0.7228508 -3.987775,355.3643 13.02591 21.51209,0,False
1742467629980,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1742467660073,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1742467660074,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.451896 0.8427039 0.282004,359.9212 0.02568836 359.9652,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.440207 0.8425964 0.355668,359.9225 0.02410714 359.9344,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.437942 0.8427091 0.2601377,359.9183 0.02847922 359.9654,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.463375 0.8425295 0.2201382,359.906 0.01957681 359.9232,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.435295 0.1707807 0.3260714,359.9614 0.03705341 359.991,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.433877 0.1707755 0.3561904,359.9591 0.03618241 359.9823,0,False
1742467660082,,,,,,BookPlaced,Book placed on the shelf.,-4.460685 0.8425222 0.1803764,359.9058 0.01934893 359.9265,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.425721 0.1707481 0.2110821,359.9634 0.03799387 -0.002941262,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.423691 0.1707193 0.1805104,359.9623 0.03680786 359.9897,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.423205 0.1708646 0.3767861,359.968 0.04499775 0.0105722,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.421118 0.1707894 0.2429947,359.9854 0.04451231 0.0002817142,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.419139 0.1708186 0.2980968,359.9676 0.04004306 0.008256211,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.403394 0.1706976 0.1517328,359.9658 0.03603473 359.9816,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.402499 0.8427287 0.3129217,359.9396 0.01914532 359.9605,0,False
1742467660083,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1742467660084,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1742467660084,,,,,,BookPlaced,Book placed on the shelf.,-4.395008 0.5021232 0.1794833,0.1505515 359.447 0.3568501,0,False
1742467660084,,,,,,BookPlaced,Book placed on the shelf.,-4.329939 0.4886798 0.1411187,359.7857 359.8808 359.9342,0,False
1742467660084,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660087,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660089,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660092,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660093,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660096,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660098,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660100,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660104,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660107,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660109,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660112,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660756,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660768,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660787,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660805,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660827,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660849,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660862,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660882,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660906,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660927,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660938,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660961,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467660983,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467661006,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742467661027,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
