Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742547159514,10, 0,66,B22114,Group 4,,,,,,
1742546532257,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742546607322,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742546610307,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742546671540,,,,,,ItemPicked,Item monitor Picked.,9.711232 0.6856399 -4.121309,270.028 75.03816 0,0,False
1742546673637,,,,,,ItemDropped,Item monitor Dropped.,9.482181 0.7789261 -3.778106,275.7447 74.45111 34.93721,0,False
1742546673811,,,,,,ItemPicked,Item monitor Picked.,9.434471 0.6794567 -3.701942,283.2241 339.3663 139.0858,0,False
1742546678819,,,,,,ItemObserved,Observed monitor,9.432869 1.226009 -3.320004,273.0588 335.2763 178.5406,0,False
1742546679530,,,,,,ItemDropped,Item monitor Dropped.,9.44666 0.6973603 -3.348056,273.5659 325.7839 187.4438,0,False
1742546696977,,,,,,ItemPicked,Item spiral notebook Picked.,8.177014 0.6982504 -4.093183,359.9552 348.0638 359.9102,0,False
1742546701985,,,,,,ItemObserved,Observed spiral notebook,8.243795 0.8784726 -3.895229,1.62424 344.3524 354.7876,0,False
1742546702375,,,,,,ItemDropped,Item spiral notebook Dropped.,8.283269 0.7588164 -4.075947,1.771933 344.1878 355.3286,0,False
1742546707028,,,,,,ItemPicked,Item Cup Picked.,7.18157 0.7315719 -3.889961,2.069578 7.176998 8.44845,0,False
1742546712036,,,,,,ItemObserved,Observed Cup,7.852436 0.8071476 -3.647119,83.43129 101.8077 97.73717,0,False
1742546716201,,,,,,ItemDropped,Item Cup Dropped.,7.82896 0.8015283 -3.859554,0.826377 5.147193 7.635879,0,False
1742546716561,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1742546731863,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1742546731863,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.451959 0.8425823 0.2820436,359.9099 0.02898383 359.935,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.440201 0.8426097 0.3556675,359.9219 0.02492519 359.9372,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.438003 0.8425942 0.2601725,359.907 0.03319101 359.9373,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.463367 0.8425474 0.2201368,359.9059 0.02042767 359.9269,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.435259 0.170836 0.3260411,359.9674 0.04462437 0.01436969,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.433834 0.1708447 0.3561565,359.9657 0.04443705 0.01193443,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.460624 0.8426362 0.1803283,359.9241 0.01301913 359.9576,0,False
1742546731873,,,,,,BookPlaced,Book placed on the shelf.,-4.425748 0.1707204 0.2109908,-0.003046385 0.03935283 359.9736,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.42373 0.1706753 0.1804236,-0.004901874 0.03732534 359.9585,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.423274 0.1707513 0.3767196,-0.001726784 0.03838971 359.958,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.421103 0.1707996 0.2429868,359.9871 0.04521157 0.00770179,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.419166 0.170785 0.2980072,0.0006196023 0.04124743 359.9846,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.403417 0.1706858 0.1516348,0.0006467914 0.03826934 359.9633,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.42405 0.8446611 0.1410095,0 0 0,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.402494 0.842725 0.3129059,359.9445 0.02013954 359.9633,0,False
1742546731875,,,,,,BookPlaced,Book placed on the shelf.,-4.394982 0.5019192 0.1796784,359.9458 359.5071 0.344508,0,False
1742546731876,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.506276 0.2368213,0 0 0,0,False
1742546731876,,,,,,BookPlaced,Book placed on the shelf.,-4.395663 0.5100431 0.291341,0 0 0,0,False
1742546731876,,,,,,BookPlaced,Book placed on the shelf.,-4.330002 0.4885247 0.1411165,359.6996 359.9042 359.9102,0,False
1742546731876,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731879,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731881,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731884,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731887,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731889,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731892,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731894,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731896,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731899,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731901,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731904,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731905,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731907,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546731910,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
1742546733013,,,,,,RealtimeData,,-0.006 -7.152557E-07 0.61,0 180 0,0,False
