PlayerID,TimeNearWallDuringEarthquake(s)
10,29.66
11,0.0
13,24.21
14,24.53
15,46.17
16,0.0
17,8.96
18,3.44
19,4.02
20,0.0
21,2.0
22,0.0
23,0.0
24,12.15
25,25.35
26,5.83
27,0.0
28,0.0
29,0.0
30,4.17
31,0.0
32,35.8
33,0.0
34,0.0
35,0.09
36,3.05
37,0.0
38,0.0
39,1.17
40,2.94
41,5.45
42,1.45
43,0.0
44,24.86
45,0.0
46,47.78
47,11.77
48,0.5
49,17.55
50,0.0
51,54.64
52,54.64
53,0.0
54,0.0
55,0.0
56,0.0
57,2.04
58,0.0
59,0.0
5,43.77
60,37.68
61,0.0
62,11.1
63,0.0
64,9.09
65,12.86
66,9.78
67,10.9
68,7.37
69,0.0
6,0.0
70,0.0
71,0.0
72,0.0
73,12.34
74,48.13
75,6.77
76,3.42
77,47.99
78,25.86
79,2.71
7,0.0
8,0.8
9,0.0
