PlayerID,TimeNearWallDuringEarthquake(s),Group
10,29.66,2
11,0.0,1
13,24.21,1
14,24.53,2
15,46.17,1
16,0.0,2
17,8.96,1
18,3.44,2
19,4.02,1
20,0.0,2
21,2.0,1
22,0.0,2
23,0.0,2
24,12.15,1
25,25.35,2
26,5.83,1
27,0.0,2
28,0.0,1
29,0.0,2
30,4.17,1
31,0.0,2
32,35.8,1
33,0.0,1
34,0.0,2
35,0.09,1
36,3.05,2
37,0.0,2
38,0.0,1
39,1.17,2
40,2.94,1
41,5.45,2
42,1.45,1
43,0.0,2
44,24.86,1
45,0.0,2
46,47.78,3
47,11.77,4
48,0.5,3
49,17.55,4
50,0.0,4
51,54.64,3
52,54.64,3
53,0.0,4
54,0.0,3
55,0.0,4
56,0.0,3
57,2.04,4
58,0.0,3
59,0.0,4
5,43.77,1
60,37.68,3
61,0.0,4
62,11.1,3
63,0.0,3
64,9.09,4
65,12.86,3
66,9.78,4
67,10.9,3
68,7.37,4
69,0.0,4
6,0.0,2
70,0.0,3
71,0.0,4
72,0.0,3
73,12.34,4
74,48.13,3
75,6.77,4
76,3.42,3
77,47.99,4
78,25.86,3
79,2.71,4
7,0.0,1
8,0.8,2
9,0.0,1
